url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDULLA-SAAD-Saeed-Ibrahim-3028190/,ABDULLA SAAD Saeed Ibrahim,Saeed Ibrahim,Abdulla Saad,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Mohamad-Safwan-3023821/,ABDULLAH Mohamad Safwan,Mohamad Safwan,Abdullah,Malaysia,MAS,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/AFZAL-Muhammad-3011031/,AFZAL Muhammad,Muhammad,Afzal,Pakistan,PAK,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/AKBAR-Muhammad-Shoaib-3011036/,AKBAR Muhammad Shoaib,Muhammad Shoaib,Akbar,Pakistan,PAK,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/AKRAM-Ahmed-Wasim-3011016/,AKRAM Ahmed Wasim,Ahmed Wasim,Akram,Pakistan,PAK,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALAREEFI-Ahmed-Mohammed-3028183/,ALAREEFI Ahmed Mohammed,Ahmed Mohammed,Alareefi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALBALOOSHI-Majid-Mohammed-3028201/,ALBALOOSHI Majid Mohammed,Majid Mohammed,Albalooshi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALBALOOSHI-Walid-Salem-3028208/,ALBALOOSHI Walid Salem,Walid Salem,Albalooshi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALBLOOSHI-Younes-Ahmed-3028210/,ALBLOOSHI Younes Ahmed,YOUNES AHMED,ALBLOOSHI,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALKATHEERI-Saeed-Abdulla-3028191/,ALKATHEERI Saeed Abdulla,SAEED ABDULLA,ALKATHEERI,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALMARAR-Mohammed-Khalifa-3028204/,ALMARAR Mohammed Khalifa,MOHAMMED KHALIFA,ALMARAR,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALMARZOOQI-Rashed-Saqer-3028188/,ALMARZOOQI Rashed Saqer,Rashed Saqer,Almarzooqi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALNOOBI-Hassan-Ali-3028186/,ALNOOBI Hassan Ali,Hassan Ali,Alnoobi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALNUAIMI-Mohammed-Sulaiman-3028206/,ALNUAIMI Mohammed Sulaiman,Mohammed Sulaiman,Alnuaimi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALSEREIDI-Ali-Matar-3028199/,ALSEREIDI Ali Matar,Ali Matar,Alsereidi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALSHAMSI-Mohamed-Saeed-3028205/,ALSHAMSI Mohamed Saeed,Mohamed Saeed,Alshamsi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALSHEHI-Ahmad-Moosa-3028184/,ALSHEHI Ahmad Moosa,Ahmad Moosa,Alshehi,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALSHKEILI-Hamad-Rashed-3028187/,ALSHKEILI Hamad Rashed,HAMAD RASHED,ALSHKEILI,United Arab Emirates,UAE,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ALTAF-Musdaq-3011042/,ALTAF Musdaq,Musdaq,Altaf,Pakistan,PAK,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/AMIN-Mohammad-Danial-Al-Fikri-3022453/,AMIN Mohammad Danial Al Fikri,Mohammad Danial Al Fikri,Amin,Indonesia,INA,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ARIF-Saad-3011045/,ARIF Saad,SAAD,ARIF,Pakistan,PAK,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/ASLAM-Faisal-3011022/,ASLAM Faisal,Faisal,Aslam,Pakistan,PAK,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/AZIZI-Mohammad-Asghar-3024611/,AZIZI Mohammad Asghar,Mohammad Asghar,Azizi,Afghanistan,AFG,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/AZMI-Zulkiflee-3023831/,AZMI Zulkiflee,Zulkiflee,Azmi,Malaysia,MAS,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/BAEK-Jieun-3014919/,BAEK Jieun,Jieun,Baek,Republic of Korea,KOR,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/BAKTYBAYEVA-Kundyzay-3021340/,BAKTYBAYEVA Kundyzay,Kundyzay,Baktybayeva,Kazakhstan,KAZ,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/BARIK-Subhalaxmi-3014158/,BARIK Subhalaxmi,SUBHALAXMI,BARIK,India,IND,Rugby Sevens,RU
https://en.asiangames2018.id/athletes/athlete/BATIVAKALOLO-Raichierumiyo-3001209/,BATIVAKALOLO Raichierumiyo,Raichierumiyo,Bativakalolo,Japan,JPN,Rugby Sevens,RU
