url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDUL-AZIZ-Ahmad-Syukri-3006117/,ABDUL AZIZ Ahmad Syukri,Ahmad Syukri,Abdul Aziz,Malaysia,MAS,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Nuur-Fatin-Solehah-3006236/,ABDUL RAHMAN Nuur Fatin Solehah,Nuur Fatin Solehah,Abdul Rahman,Malaysia,MAS,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AI-Yoshida-3025998/,AI Yoshida,Yoshida,Ai,Japan,JPN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AKIRA-Takayanagi-3025994/,AKIRA Takayanagi,Takayanagi,Akira,Japan,JPN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AL-HADI-Musab-Mohammed-Sulaiyam-3000050/,AL HADI Musab Mohammed Sulaiyam,Musab Mohammed Sulaiyam,Al Hadi,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AL-HINAI-Abdulmalik-Gharib-Juma-3000053/,AL HINAI Abdulmalik Gharib Juma,Abdulmalik Gharib Juma,Al Hinai,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AL-KENDI-Waleed-Issa-Al-Habashi-3000051/,AL KENDI Waleed Issa Al-Habashi,Waleed Issa Al-Habashi,Al Kendi,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AL-MABSALI-Adnan-Issa-Salim-Rashid-3000054/,AL MABSALI Adnan Issa Salim Rashid,ADNAN ISSA SALIM RASHID,AL MABSALI,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AL-RIYAMI-Samiha-Nayel-Abdullah-3000055/,AL RIYAMI Samiha Nayel Abdullah,SAMIHA NAYEL ABDULLAH,AL RIYAMI,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AL-RASHDI-Hashim-Hamed-Saleh-3000048/,AL-RASHDI Hashim Hamed Saleh,HASHIM HAMED SALEH,AL-RASHDI,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ALALAWI-Salim-Ahmed-Salim-3000138/,ALALAWI Salim Ahmed Salim,SALIM AHMED SALIM,ALALAWI,Oman,OMA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ALALI-Hamza-3024310/,ALALI Hamza,Hamza,Alali,United Arab Emirates,UAE,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ALMANSOORI-Saif-3024317/,ALMANSOORI Saif,Saif,Almansoori,United Arab Emirates,UAE,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ALMANSOORI-Salama-3024308/,ALMANSOORI Salama,Salama,Almansoori,United Arab Emirates,UAE,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ALNASR-Abdulrahman-3002000/,ALNASR Abdulrahman,Abdulrahman,Alnasr,Qatar,QAT,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ALSHARSHANI-Waleed-3001999/,ALSHARSHANI Waleed,Waleed,Alsharshani,Qatar,QAT,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ANDRIYANTO-Bobby-Feri-3018634/,ANDRIYANTO Bobby Feri,Bobby Feri,Andriyanto,Indonesia,INA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ANNA-LEE-Fisher-3024744/,ANNA LEE Fisher,Fisher,Anna Lee,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ASHOK-THAKKAR-Varun-3009740/,ASHOK THAKKAR Varun,Varun,Ashok Thakkar,India,IND,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/AWAIS-Muhammad-3014548/,AWAIS Muhammad,Muhammad,Awais,Pakistan,PAK,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/BAIRAGI-Govind-3015956/,BAIRAGI Govind,Govind,Bairagi,India,IND,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/BASRI-Nurul-Octaviani-3018632/,BASRI Nurul Octaviani,Nurul Octaviani,Basri,Indonesia,INA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/BERNARD-Ian-Kay-3024739/,BERNARD Ian Kay,Ian Kay,Bernard,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/BEZY-Nicholas-Brian-3024737/,BEZY Nicholas Brian,Nicholas Brian,Bezy,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/BI-Kun-3012678/,BI Kun,Kun,Bi,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/BUALONG-Keerati-3011850/,BUALONG Keerati,Keerati,Bualong,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHAE-Bonjin-3014156/,CHAE Bonjin,Bonjin,Chae,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHAN-Hei-Man-Hayley-Victoria-3024750/,CHAN Hei Man Hayley Victoria,Hei Man Hayley Victoria,Chan,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHAN-Reynold-3002284/,CHAN Reynold,Reynold,Chan,Singapore,SGP,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHANG-Hao-3009815/,CHANG Hao,Hao,Chang,Chinese Taipei,TPE,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHANYIM-Kamolwan-3028676/,CHANYIM Kamolwan,Kamolwan,Chanyim,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHEN-Hao-3012679/,CHEN Hao,Hao,Chen,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHEN-Jiaming-3014637/,CHEN Jiaming,Jiaming,Chen,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHEN-Peina-3014491/,CHEN Peina,Peina,Chen,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHENG-Chun-Leung-Michael-3024749/,CHENG Chun Leung Michael,Chun Leung Michael,Cheng,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/CHEUNG-Ka-Ho-3024740/,CHEUNG Ka Ho,Ka Ho,Cheung,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/COELHO-Dayne-Edgar-Agnelo-3009713/,COELHO Dayne Edgar Agnelo,Dayne Edgar Agnelo,Coelho,India,IND,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/COELHO-Katya-Ida-3009789/,COELHO Katya Ida,Katya Ida,Coelho,India,IND,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/COVETA-Geylord-3004874/,COVETA Geylord,Geylord,Coveta,Philippines,PHI,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/DOI-Manami-3025973/,DOI Manami,Manami,Doi,Japan,JPN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/DON-Whitcraft-3013504/,DON Whitcraft,Whitcraft,Don,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/DUCH-Bunthuoen-3021635/,DUCH Bunthuoen,Bunthuoen,Duch,Cambodia,CAM,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/DYLAN-Whitcraft-3013560/,DYLAN Whitcraft,Whitcraft,Dylan,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/ELISA-YUKIE-Yokoyama-3002333/,ELISA YUKIE Yokoyama,Yokoyama,Elisa Yukie,Singapore,SGP,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/EPRIANO-Alga-Surya-Senjaya-3018635/,EPRIANO Alga Surya Senjaya,Alga Surya Senjaya,Epriano,Indonesia,INA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/FINANDIKA-Zefanya-Eldiva-3018633/,FINANDIKA Zefanya Eldiva,Zefanya Eldiva,Finandika,Indonesia,INA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/FURUYA-Shingen-3025974/,FURUYA Shingen,Shingen,Furuya,Japan,JPN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/GAO-Haiyan-3021605/,GAO Haiyan,Haiyan,Gao,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HA-Jeemin-3014133/,HA Jeemin,Jeemin,Ha,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HACHIYAMA-Shinji-3025975/,HACHIYAMA Shinji,Shinji,Hachiyama,Japan,JPN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HE-Xian-3014630/,HE Xian,Xian,He,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HIGHFIELD-Molly-Tryphena-3024742/,HIGHFIELD Molly Tryphena,Molly Tryphena,Highfield,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HOIRIYAH-Hoiriyah-3018626/,HOIRIYAH Hoiriyah,Hoiriyah,Hoiriyah,Indonesia,INA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HONG-Wei-3014642/,HONG Wei,Wei,Hong,China,CHN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HUNG-Daniel-Boon-Lok-3100732/,HUNG Daniel Boon Lok,Daniel Boon Lok,Hung,Singapore,SGP,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/HUSSAIN-Khalid-3014543/,HUSSAIN Khalid,Khalid,Hussain,Pakistan,PAK,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/IEDHA-Nurul-Rahma-3018637/,IEDHA Nurul Rahma,Nurul Rahma,Iedha,Indonesia,INA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/JAMIL-Nuraisyah-3006126/,JAMIL Nuraisyah,Nuraisyah,Jamil,Malaysia,MAS,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/JANAHI-Abdulla-3005695/,JANAHI Abdulla,Abdulla,Janahi,Bahrain,BRN,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/JANGAZOV-Ruslan-3017186/,JANGAZOV Ruslan,Ruslan,Jangazov,Kazakhstan,KAZ,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/JANGAZOVA-Karina-3017190/,JANGAZOVA Karina,Karina,Jangazova,Kazakhstan,KAZ,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/JANINASAB-DARZI-Masoud-3003562/,JANINASAB DARZI Masoud,Masoud,Janinasab Darzi,IR Iran,IRI,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/JUNTHONGLANG-Cholchaya-3000937/,JUNTHONGLANG Cholchaya,Cholchaya,Junthonglang,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KAEWDUANG-NGAM-Siripon-3000935/,KAEWDUANG NGAM Siripon,Siripon,Kaewduang Ngam,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KAIBIGAN-Yancy-3004877/,KAIBIGAN Yancy,YANCY,KAIBIGAN,Philippines,PHI,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KAMAN-SHAH-Muhammad-Fauzi-3006102/,KAMAN SHAH Muhammad Fauzi,Muhammad Fauzi,Kaman Shah,Malaysia,MAS,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KELAPANDA-CHENGAPPA-Ganapathy-3009770/,KELAPANDA CHENGAPPA Ganapathy,Ganapathy,Kelapanda Chengappa,India,IND,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KHAN-Najeeb-Ullah-3014554/,KHAN Najeeb Ullah,Najeeb Ullah,Khan,Pakistan,PAK,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIKABHOY-Rafeek-3024751/,KIKABHOY Rafeek,Rafeek,Kikabhoy,"Hong Kong, China",HKG,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Chanju-3014146/,KIM Chanju,Chanju,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Dajeong-3014184/,KIM Dajeong,Dajeong,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Dongwook-3014181/,KIM Dongwook,Dongwook,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Dongwook-3014160/,KIM Dongwook,Dongwook,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Jia-3014336/,KIM Jia,Jia,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Jihoon-3014150/,KIM Jihoon,Jihoon,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KIM-Saebom-3014178/,KIM Saebom,Saebom,Kim,Republic of Korea,KOR,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KLAHAN-Kamonchanok-3011131/,KLAHAN Kamonchanok,Kamonchanok,Klahan,Thailand,THA,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KOH-Yinian-3002317/,KOH Yinian,Yinian,Koh,Singapore,SGP,Sailing,SA
https://en.asiangames2018.id/athletes/athlete/KOMINE-Megumi-3025985/,KOMINE Megumi,Megumi,Komine,Japan,JPN,Sailing,SA
