url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABADI-Teuku-Tegar-3023826/,ABADI Teuku Tegar,Teuku Tegar,Abadi,Indonesia,INA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABBAS-Abbas-3010779/,ABBAS Abbas,Abbas,Abbas,Bahrain,BRN,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABBAS-Mohamed-3002953/,ABBAS Mohamed,Mohamed,Abbas,Qatar,QAT,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABBAS-Tanveer-3007953/,ABBAS Tanveer,TANVEER,ABBAS,Pakistan,PAK,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABDALLA-Abubaker-3002924/,ABDALLA Abubaker,Abubaker,Abdalla,Qatar,QAT,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABDO-Abdi-3010980/,ABDO Abdi,Abdi,Abdo,Bahrain,BRN,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABDUL-RASHEED-Ismail-3024687/,ABDUL RASHEED Ismail,ISMAIL,ABDUL RASHEED,Maldives,MDV,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABDULELAH-Maryam-Abdulhameed-3008044/,ABDULELAH Maryam Abdulhameed,Maryam Abdulhameed,Abdulelah,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABDULWAHID-Muntadher-Falih-Abdulwahid-3008703/,ABDULWAHID Muntadher Falih Abdulwahid,Muntadher Falih Abdulwahi,Abdulwahid,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABE-Takatoshi-3026741/,ABE Takatoshi,Takatoshi,Abe,Japan,JPN,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABU-TALEB-Md-3005631/,ABU TALEB Md,Md,Abu Taleb,Bangladesh,BAN,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABULJADAYEL-Yara-Ahmed-3023827/,ABULJADAYEL Yara Ahmed,Yara Ahmed,Abuljadayel,Kingdom of Saudi Arabia,KSA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ABUTHIB-Wasim-3005619/,ABUTHIB Wasim,Wasim,Abuthib,Palestine,PLE,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/ADEKOYA-Oluwakemi-3010986/,ADEKOYA Oluwakemi,Oluwakemi,Adekoya,Bahrain,BRN,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AFA-Ismail-3024696/,AFA Ismail,ISMAIL,AFA,Maldives,MDV,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AGRETA-Jeany-Nuraini-Amelia-3023784/,AGRETA Jeany Nuraini Amelia,Jeany Nuraini Amelia,Agreta,Indonesia,INA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AHMED-Sharaf-3024706/,AHMED Sharaf,SHARAF,AHMED,Maldives,MDV,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AHMED-ANOOF-Mohamed-3024673/,AHMED ANOOF Mohamed,MOHAMED,AHMED ANOOF,Maldives,MDV,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AIDOSSOVA-Diana-3029158/,AIDOSSOVA Diana,Diana,Aidossova,Kazakhstan,KAZ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AISHATH-HIMNA-Hassan-3024701/,AISHATH HIMNA Hassan,Hassan,Aishath Himna,Maldives,MDV,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AKHMADALIEV-Khurshidjon-3004109/,AKHMADALIEV Khurshidjon,Khurshidjon,Akhmadaliev,Uzbekistan,UZB,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AKHMETOVA-Adelina-3029154/,AKHMETOVA Adelina,Adelina,Akhmetova,Kazakhstan,KAZ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AKTAR-Sumi-3005632/,AKTAR Sumi,Sumi,Aktar,Bangladesh,BAN,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-AASMI-Rashid-Huwaishal-Moghrab-3000024/,AL AASMI Rashid Huwaishal Moghrab,Rashid Huwaishal Moghrab,Al Aasmi,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-BADRI-Hatem-Hamood-Salim-3021160/,AL BADRI Hatem Hamood Salim,HATEM HAMOOD SALIM,AL BADRI,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-HADAIFI-Ibrahim-Khalfan-Ali-3021161/,AL HADAIFI Ibrahim Khalfan Ali,IBRAHIM KHALFAN ALI,AL HADAIFI,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-HARTHI-Barakat-Mubarak-Mabrook-3000022/,AL HARTHI Barakat Mubarak Mabrook,Barakat Mubarak Mabrook,Al Harthi,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-HARTHI-Yousuf-Marzohuq-Gharib-3021157/,AL HARTHI Yousuf Marzohuq Gharib,YOUSUF MARZOHUQ GHARIB,AL HARTHI,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-HIZAM-Hussain-Asim-3013247/,AL HIZAM Hussain Asim,Hussain Asim,Al Hizam,Kingdom of Saudi Arabia,KSA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-IBRAHEEMI-Hussein-Falah-Hasan-3008064/,AL IBRAHEEMI Hussein Falah Hasan,Hussein Falah Hasan,Al Ibraheemi,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-KARBOOLI-Ahmed-Esam-Mohammed-3008046/,AL KARBOOLI Ahmed Esam Mohammed,Ahmed Esam Mohammed,Al Karbooli,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-KHAFAJI-Danah-Husein-Abdulrazzaq-3008024/,AL KHAFAJI Danah Husein Abdulrazzaq,Danah Husein Abdulrazzaq,Al Khafaji,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-KHFAJI-Mohammed-Sad-Nadhim-3008657/,AL KHFAJI Mohammed Sad Nadhim,Mohammed Sad Nadhim,Al Khfaji,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-KINANI-Ahmed-Fadhil-Mohammed-3008051/,AL KINANI Ahmed Fadhil Mohammed,Ahmed Fadhil Mohammed,Al Kinani,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-MANNAI-Rashid-3011265/,AL MANNAI Rashid,Rashid,Al Mannai,Qatar,QAT,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-MNTFAGE-Adnan-Taes-Agar-3008644/,AL MNTFAGE Adnan Taes Agar,Adnan Taes Agar,Al Mntfage,Iraq,IRQ,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-NOUFALI-Yahya-Salim-Khamis-3021232/,AL NOUFALI Yahya Salim Khamis,YAHYA SALIM KHAMIS,AL NOUFALI,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-OMRANI-Yousuf-Thani-Abdullah-3000021/,AL OMRANI Yousuf Thani Abdullah,YOUSUF THANI ABDULLAH,AL OMRANI,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-QAREE-Mohammed-Jasem-3012591/,AL QAREE Mohammed Jasem,Mohammed Jasem,Al Qaree,Kingdom of Saudi Arabia,KSA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-QURAINI-Abdullah-Salim-Ali-3021164/,AL QURAINI Abdullah Salim Ali,ABDULLAH SALIM ALI,AL QURAINI,Oman,OMA,Athletics,AT
https://en.asiangames2018.id/athletes/athlete/AL-QURAINI-Obaid-Abdullah-Mohammed-3000056/,AL QURAINI Obaid Abdullah Mohammed,Obaid Abdullah Mohammed,Al Quraini,Oman,OMA,Athletics,AT
