url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ANGKAWIDJAYA-Aldwien-3020969/,ANGKAWIDJAYA Aldwien,ALDWIEN,ANGKAWIDJAYA,Indonesia,INA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/ATHIWAT-Oat-3018442/,ATHIWAT Oat,OAT,ATHIWAT,Thailand,THA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/CHOI-Eugene-3017538/,CHOI Eugene,EUGENE,CHOI,Republic of Korea,KOR,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/CHU-Peiyu-3011579/,CHU Peiyu,PEIYU,CHU,Chinese Taipei,TPE,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/DARMA-TANJUNG-Sanggoe-3020968/,DARMA TANJUNG Sanggoe,SANGGOE,DARMA TANJUNG,Indonesia,INA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/DENNIS-LIJNZAAT-Jason-3020971/,DENNIS LIJNZAAT Jason,JASON,DENNIS LIJNZAAT,Indonesia,INA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/DIDAL-Margielyn-3009804/,DIDAL Margielyn,MARGIELYN,DIDAL,Philippines,PHI,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/EUN-Juwon-3017539/,EUN Juwon,JUWON,EUN,Republic of Korea,KOR,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/FELICIANO-Renzo-Mark-3009806/,FELICIANO Renzo Mark,RENZO MARK,FELICIANO,Philippines,PHI,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/GAO-Qunxiang-3015526/,GAO Qunxiang,QUNXIANG,GAO,China,CHN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/GONZALES-Jeffrey-3009807/,GONZALES Jeffrey,JEFFREY,GONZALES,Philippines,PHI,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/HAN-Jaejin-3017540/,HAN Jaejin,JAEJIN,HAN,Republic of Korea,KOR,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/HUI-Zixuan-3030334/,HUI Zixuan,ZIXUAN,HUI,China,CHN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/IKE-Keyaki-3006666/,IKE Keyaki,KEYAKI,IKE,Japan,JPN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/ISA-Kaya-3006674/,ISA Kaya,KAYA,ISA,Japan,JPN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/LAI-Christina-Grace-3008218/,LAI Christina Grace,CHRISTINA GRACE,LAI,Malaysia,MAS,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/LOU-Jiayi-3015968/,LOU Jiayi,JIAYI,LOU,China,CHN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/LU-Hungchen-3011527/,LU Hungchen,HUNGCHEN,LU,Chinese Taipei,TPE,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/LUK-Chun-Yin-3024733/,LUK Chun Yin,CHUN YIN,LUK,"Hong Kong, China",HKG,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/NAPAT-Petch-3018530/,NAPAT Petch,PETCH,NAPAT,Thailand,THA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/NOVVERY-Aliqqa-3020975/,NOVVERY Aliqqa,ALIQQA,NOVVERY,Indonesia,INA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/NURIMAN-AMRI-Ian-3008212/,NURIMAN AMRI Ian,IAN,NURIMAN AMRI,Malaysia,MAS,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/NYIMAS-Bunga-3020974/,NYIMAS Bunga,BUNGA,NYIMAS,Indonesia,INA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/PANUTAI-Noppakorn-3018533/,PANUTAI Noppakorn,NOPPAKORN,PANUTAI,Thailand,THA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/PANUTAI-Pakorn-3018536/,PANUTAI Pakorn,PAKORN,PANUTAI,Thailand,THA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/PERMANA-PUTRA-Pevi-3020973/,PERMANA PUTRA Pevi,PEVI,PERMANA PUTRA,Indonesia,INA,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/ROSZIZI-Fatin-Syahirah-3008216/,ROSZIZI Fatin Syahirah,FATIN SYAHIRAH,ROSZIZI,Malaysia,MAS,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/SASAOKA-Kensuke-3006717/,SASAOKA Kensuke,KENSUKE,SASAOKA,Japan,JPN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/SUN-Kunkun-3015801/,SUN Kunkun,KUNKUN,SUN,China,CHN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/TANG-Chun-Yin-Johnnie-3024734/,TANG Chun Yin Johnnie,CHUN YIN JOHNNIE,TANG,"Hong Kong, China",HKG,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/THAPA-Neris-3024051/,THAPA Neris,NERIS,THAPA,Nepal,NEP,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/XIANG-Xiaojun-3015763/,XIANG Xiaojun,XIAOJUN,XIANG,China,CHN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/YOSOZUMI-Sakura-3006758/,YOSOZUMI Sakura,SAKURA,YOSOZUMI,Japan,JPN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/YU-Jiwoong-3017563/,YU Jiwoong,JIWOONG,YU,Republic of Korea,KOR,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/ZAINORDIN-Yaziru-Amiru-Basyir-3008211/,ZAINORDIN Yaziru Amiru Basyir,YAZIRU AMIRU BASYIR,ZAINORDIN,Malaysia,MAS,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/ZENG-Wenhui-3016007/,ZENG Wenhui,WENHUI,ZENG,China,CHN,Skateboard,SK
https://en.asiangames2018.id/athletes/athlete/ZHANG-Xin-3015965/,ZHANG Xin,XIN,ZHANG,China,CHN,Skateboard,SK
