url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/AFTAB-Muhammad-Nauman-3021149/,AFTAB Muhammad Nauman,MUHAMMAD NAUMAN,AFTAB,Pakistan,PAK,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ALCOSEBA-Mark-Anthony-3009537/,ALCOSEBA Mark Anthony,MARK ANTHONY,ALCOSEBA,Philippines,PHI,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ALIYA-Maniphone-3012174/,ALIYA Maniphone,MANIPHONE,ALIYA,Lao PDR,LAO,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ALTANKHUYAG-Damdin-3028945/,ALTANKHUYAG Damdin,DAMDIN,ALTANKHUYAG,Mongolia,MGL,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ANUGERAH-M-Hemat-Bhakti-3020722/,ANUGERAH M. Hemat Bhakti,M. HEMAT BHAKTI,ANUGERAH,Indonesia,INA,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ARASY-Siti-Nur-3020726/,ARASY Siti Nur,SITI NUR,ARASY,Indonesia,INA,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ARCILLA-Joseph-3009534/,ARCILLA Joseph,JOSEPH,ARCILLA,Philippines,PHI,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/ARZAGA-Odessa-Mariel-3009524/,ARZAGA Odessa Mariel,ODESSA MARIEL,ARZAGA,Philippines,PHI,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/BAEK-Seol-3014902/,BAEK Seol,SEOL,BAEK,Republic of Korea,KOR,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/BATAA-Chinmurun-3028954/,BATAA Chinmurun,CHINMURUN,BATAA,Mongolia,MGL,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/BOLDBAATAR-Sevjidmaa-3111159/,BOLDBAATAR Sevjidmaa,SEVJIDMAA,BOLDBAATAR,Mongolia,MGL,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/BOLORTUYA-Enkhjin-3028946/,BOLORTUYA Enkhjin,ENKHJIN,BOLORTUYA,Mongolia,MGL,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/BULGAN-Norovsuren-3028951/,BULGAN Norovsuren,NOROVSUREN,BULGAN,Mongolia,MGL,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/BUNTENG-Thatdao-3005335/,BUNTENG Thatdao,THATDAO,BUNTENG,Thailand,THA,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/CATINDIG-Princess-Lorben-3009518/,CATINDIG Princess Lorben,PRINCESS LORBEN,CATINDIG,Philippines,PHI,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/CHAMPAMANIVONG-Phonesamai-3012175/,CHAMPAMANIVONG Phonesamai,PHONESAMAI,CHAMPAMANIVONG,Lao PDR,LAO,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/CHAN-Chiahsin-3009209/,CHAN Chiahsin,CHIAHSIN,CHAN,Chinese Taipei,TPE,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/CHEN-Tsungwen-3009156/,CHEN Tsungwen,TSUNGWEN,CHEN,Chinese Taipei,TPE,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/CHEN-Yuhsun-3009168/,CHEN Yuhsun,YUHSUN,CHEN,Chinese Taipei,TPE,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/CHENG-Chuling-3009199/,CHENG Chuling,CHULING,CHENG,Chinese Taipei,TPE,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/DAMIAN-Noel-Jr-3009536/,DAMIAN Noel Jr,NOEL JR,DAMIAN,Philippines,PHI,Soft Tennis,SF
https://en.asiangames2018.id/athletes/athlete/DAQUIO-Jamaica-3009527/,DAQUIO Jamaica,JAMAICA,DAQUIO,Philippines,PHI,Soft Tennis,SF
