url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDALLA-Sultan-3029784/,ABDALLA Sultan,Sultan,Abdalla,Qatar,QAT,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ABDRAIMOV-Turar-3009655/,ABDRAIMOV Turar,TURAR,ABDRAIMOV,Kyrgyzstan,KGZ,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ABESING-WIJESEKARA-Lakmal-3022422/,ABESING WIJESEKARA Lakmal,Lakmal,Abesing Wijesekara,Sri Lanka,SRI,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ABRAHAM-Minimol-3019776/,ABRAHAM Minimol,Minimol,Abraham,India,IND,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ABSATAROV-Kutmanbek-3009630/,ABSATAROV Kutmanbek,Kutmanbek,Absatarov,Kyrgyzstan,KGZ,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ABUNABOT-Belal-3002807/,ABUNABOT Belal,Belal,Abunabot,Qatar,QAT,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ADAM-Fairooz-3107655/,ADAM Fairooz,FAIROOZ,ADAM,Maldives,MDV,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ADAM-Naseem-3021758/,ADAM Naseem,Naseem,Adam,Maldives,MDV,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ADAM-Shaufa-3023217/,ADAM Shaufa,SHAUFA,ADAM,Maldives,MDV,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ADHIKARI-Hari-Bahadur-3016839/,ADHIKARI Hari Bahadur,Hari Bahadur,Adhikari,Nepal,NEP,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/ADUUCH-Munkh-Erdene-3027959/,ADUUCH Munkh-Erdene,Munkh-Erdene,Aduuch,Mongolia,MGL,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/AHMED-Mahmoud-3029785/,AHMED Mahmoud,Mahmoud,Ahmed,Qatar,QAT,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/AHMED-Shimau-3021762/,AHMED Shimau,Shimau,Ahmed,Maldives,MDV,Volleyball,VO
https://en.asiangames2018.id/athletes/athlete/AISHATH-Mithinaan-3023108/,AISHATH Mithinaan,MITHINAAN,AISHATH,Maldives,MDV,Volleyball,VO
