url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABBASI-Mohammadjavad-3000336/,ABBASI Mohammadjavad,Mohammadjavad,Abbasi,IR Iran,IRI,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ADACHI-Seiya-3026479/,ADACHI Seiya,Seiya,Adachi,Japan,JPN,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/AKHMETOV-Ruslan-3029572/,AKHMETOV Ruslan,Ruslan,Akhmetov,Kazakhstan,KAZ,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/AKILBAYEVA-Aizhan-3029578/,AKILBAYEVA Aizhan,Aizhan,Akilbayeva,Kazakhstan,KAZ,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALARYANI-Ayman-3011944/,ALARYANI Ayman,Ayman,Alaryani,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALDUGHTHER-Bader-3012666/,ALDUGHTHER Bader,Bader,Aldughther,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALFARIZ-Mochammad-Rafi-3020698/,ALFARIZ Mochammad Rafi,Mochammad Rafi,Alfariz,Indonesia,INA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALHARBI-Khaled-3011938/,ALHARBI Khaled,Khaled,Alharbi,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALHELAL-Mohammed-3011940/,ALHELAL Mohammed,MOHAMMED,ALHELAL,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALHELAL-Mohammed-9961011/,ALHELAL Mohammed,Mohammed,Alhelal,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALIBAYEVA-Azhar-3029579/,ALIBAYEVA Azhar,Azhar,Alibayeva,Kazakhstan,KAZ,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALKHAWFI-Mohammed-3011946/,ALKHAWFI Mohammed,Mohammed,Alkhawfi,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALMALKI-Adel-3011945/,ALMALKI Adel,Adel,Almalki,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALMASI-Arshia-3000320/,ALMASI Arshia,Arshia,Almasi,IR Iran,IRI,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALMUNTASHIRI-Naif-3012673/,ALMUNTASHIRI Naif,Naif,Almuntashiri,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALNEFAIEI-Hamed-3012674/,ALNEFAIEI Hamed,Hamed,Alnefaiei,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALSHAMMARY-Ahmed-3014582/,ALSHAMMARY Ahmed,Ahmed,Alshammary,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALTAYEV-Altay-3030011/,ALTAYEV Altay,Altay,Altayev,Kazakhstan,KAZ,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ALZAHRANI-Yaser-3011941/,ALZAHRANI Yaser,Yaser,Alzahrani,Kingdom of Saudi Arabia,KSA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ANG-An-Jun-3002529/,ANG An Jun,An Jun,Ang,Singapore,SGP,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ANG-Wei-Ming-Sean-3002553/,ANG Wei Ming Sean,Wei Ming Sean,Ang,Singapore,SGP,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/AOKI-Miyuu-3007167/,AOKI Miyuu,Miyuu,Aoki,Japan,JPN,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ARAI-Atsushi-3007136/,ARAI Atsushi,Atsushi,Arai,Japan,JPN,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ARAKI-Kenta-3026480/,ARAKI Kenta,Kenta,Araki,Japan,JPN,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ARIFIN-Zaenal-3020691/,ARIFIN Zaenal,Zaenal,Arifin,Indonesia,INA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ARIMA-Yumi-3008239/,ARIMA Yumi,Yumi,Arima,Japan,JPN,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ARSANA-Nyoman-Ayu-Savitri-3020709/,ARSANA Nyoman Ayu Savitri,Nyoman Ayu Savitri,Arsana,Indonesia,INA,Water Polo,WP
https://en.asiangames2018.id/athletes/athlete/ASADI-AGHAJARI-Peiman-3000327/,ASADI AGHAJARI Peiman,Peiman,Asadi Aghajari,IR Iran,IRI,Water Polo,WP
