url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Rahmat-Erwin-3018308/,ABDULLAH Rahmat Erwin,RAHMAT ERWIN,ABDULLAH,Indonesia,INA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ABUTOHA-Mohammed-3006882/,ABUTOHA Mohammed,MOHAMMED,ABUTOHA,Palestine,PLE,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ADHIKARI-Kamal-Bahadur-3017113/,ADHIKARI Kamal Bahadur,KAMAL BAHADUR,ADHIKARI,Nepal,NEP,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AGUSTIANI-Sri-Wahyuni-3018311/,AGUSTIANI Sri Wahyuni,SRI WAHYUNI,AGUSTIANI,Indonesia,INA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AKHTER-Jamil-3000951/,AKHTER Jamil,JAMIL,AKHTER,Pakistan,PAK,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AKMAL-Nurul-3018319/,AKMAL Nurul,NURUL,AKMAL,Indonesia,INA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AKTAR-Mabia-3012205/,AKTAR Mabia,MABIA,AKTAR,Bangladesh,BAN,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-AJMI-Murshid-Mohamed-Murshid-3000043/,AL AJMI Murshid Mohamed Murshid,MURSHID MOHAMED MURSHID,AL AJMI,Oman,OMA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-BATTASHI-Asad-Sultan-Obaid-3000042/,AL BATTASHI Asad Sultan Obaid,ASAD SULTAN OBAID,AL BATTASHI,Oman,OMA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-DUHAYLIB-Mohsen-Hussain-A-3015993/,AL DUHAYLIB Mohsen Hussain A,MOHSEN HUSSAIN A,AL DUHAYLIB,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-HUMAYD-Mahmoud-Mohammed-S-3016003/,AL HUMAYD Mahmoud Mohammed S,MAHMOUD MOHAMMED S,AL HUMAYD,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-SALEEM-Mansour-Abdulrahim-M-3016014/,AL SALEEM Mansour Abdulrahim M,MANSOUR ABDULRAHIM M,AL SALEEM,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-HUSSEIN-Ahmed-Farooq-Ghulam-3000014/,AL-HUSSEIN Ahmed Farooq Ghulam,AHMED FAROOQ GHULAM,AL-HUSSEIN,Iraq,IRQ,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/AL-SAEDI-Huda-Salim-Neamah-3000032/,AL-SAEDI Huda Salim Neamah,HUDA SALIM NEAMAH,AL-SAEDI,Iraq,IRQ,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALAIFURI-Salwan-Jasim-Abbood-3000013/,ALAIFURI Salwan Jasim Abbood,SALWAN JASIM ABBOOD,ALAIFURI,Iraq,IRQ,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALBALUSHI-Issa-3028214/,ALBALUSHI Issa,ISSA,ALBALUSHI,United Arab Emirates,UAE,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALHAZZAA-Ali-3004102/,ALHAZZAA Ali,ALI,ALHAZZAA,Syria,SYR,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALI-Haider-3000948/,ALI Haider,HAIDER,ALI,Pakistan,PAK,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALI-Mohammed-Ridha-Ali-3000027/,ALI Mohammed Ridha Ali,MOHAMMED RIDHA ALI,ALI,Iraq,IRQ,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALIHOSSEINI-Saeid-3003610/,ALIHOSSEINI Saeid,SAEID,ALIHOSSEINI,IR Iran,IRI,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALJUMAILI-Safaa-Rashid-Mohmood-3000012/,ALJUMAILI Safaa Rashid Mohmood,SAFAA RASHID MOHMOOD,ALJUMAILI,Iraq,IRQ,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALKHAZAL-Ali-Ahmed-A-3016649/,ALKHAZAL Ali Ahmed A,ALI AHMED A,ALKHAZAL,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALMADANI-Mai-3028215/,ALMADANI Mai,MAI,ALMADANI,United Arab Emirates,UAE,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALMAZYADI-Nawaf-Mohammed-S-3016663/,ALMAZYADI Nawaf Mohammed S,NAWAF MOHAMMED S,ALMAZYADI,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALOTHMAN-Ali-Yousef-A-3016677/,ALOTHMAN Ali Yousef A,ALI YOUSEF A,ALOTHMAN,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALQASSASS-Ahmed-3006869/,ALQASSASS Ahmed,AHMED,ALQASSASS,Palestine,PLE,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALQASSASS-Hani-3006874/,ALQASSASS Hani,HANI,ALQASSASS,Palestine,PLE,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ALSALEEM-Seraj-Abdulrahim-M-3016794/,ALSALEEM Seraj Abdulrahim M,SERAJ ABDULRAHIM M,ALSALEEM,Kingdom of Saudi Arabia,KSA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ANDO-Elreen-Ann-3007990/,ANDO Elreen Ann,ELREEN ANN,ANDO,Philippines,PHI,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ANDOH-Mikiko-3026025/,ANDOH Mikiko,MIKIKO,ANDOH,Japan,JPN,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ANGGRAINI-Syarah-3018314/,ANGGRAINI Syarah,SYARAH,ANGGRAINI,Indonesia,INA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ARIANA-I-Ketut-3018306/,ARIANA I Ketut,I KETUT,ARIANA,Indonesia,INA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ARTYKOV-Izzat-3021057/,ARTYKOV Izzat,IZZAT,ARTYKOV,Kyrgyzstan,KGZ,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ASHYROV-Dayanch-3010213/,ASHYROV Dayanch,DAYANCH,ASHYROV,Turkmenistan,TKM,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ASKARI-Majid-3028663/,ASKARI Majid,MAJID,ASKARI,IR Iran,IRI,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/ASSAD-Man-3004115/,ASSAD Man,MAN,ASSAD,Syria,SYR,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/BARARI-Mohammadreza-3003594/,BARARI Mohammadreza,MOHAMMADREZA,BARARI,IR Iran,IRI,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/BIN-SUWOTO-WIJOYO-Surahmat-3018301/,BIN SUWOTO WIJOYO Surahmat,SURAHMAT,BIN SUWOTO WIJOYO,Indonesia,INA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/BUNSUK-Tairat-3003510/,BUNSUK Tairat,TAIRAT,BUNSUK,Thailand,THA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/BUPPHAMALA-Patiphan-3003509/,BUPPHAMALA Patiphan,PATIPHAN,BUPPHAMALA,Thailand,THA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/BUTT-Muhammad-Nooh-Dastgir-3001051/,BUTT Muhammad Nooh Dastgir,MUHAMMAD NOOH DASTGIR,BUTT,Pakistan,PAK,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/CHAIDEE-Duangaksorn-3003711/,CHAIDEE Duangaksorn,DUANGAKSORN,CHAIDEE,Thailand,THA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/CHANTRI-Witsanu-3003511/,CHANTRI Witsanu,WITSANU,CHANTRI,Thailand,THA,Weightlifting,WL
https://en.asiangames2018.id/athletes/athlete/CHAUDHARY-Sanju-3017823/,CHAUDHARY Sanju,SANJU,CHAUDHARY,Nepal,NEP,Weightlifting,WL
