url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Muminjon-3001008/,ABDULLAEV Muminjon,MUMINJON,ABDULLAEV,Uzbekistan,UZB,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Hamidullah-3024069/,ABDULLAH Hamidullah,HAMIDULLAH,ABDULLAH,Afghanistan,AFG,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ABDURAKHMONOV-Bekzod-3000921/,ABDURAKHMONOV Bekzod,BEKZOD,ABDURAKHMONOV,Uzbekistan,UZB,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ABOUNADER-Domenic-Michael-3014956/,ABOUNADER Domenic Michael,DOMENIC MICHAEL,ABOUNADER,Lebanon,LBN,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/AHMADI-Noor-Ahmad-3024073/,AHMADI Noor Ahmad,NOOR AHMAD,AHMADI,Afghanistan,AFG,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/AINAGULOV-Mirambek-3029516/,AINAGULOV Mirambek,MIRAMBEK,AINAGULOV,Kazakhstan,KAZ,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/AKHMEDOV-Mubinjon-3010397/,AKHMEDOV Mubinjon,MUBINJON,AKHMEDOV,Tajikistan,TJK,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/AKMATALIEV-Ernazar-3010335/,AKMATALIEV Ernazar,ERNAZAR,AKMATALIEV,Kyrgyzstan,KGZ,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/AL-ASTA-Mhd-Feda-Aldin-3004377/,AL ASTA Mhd Feda Aldin,MHD FEDA ALDIN,AL ASTA,Syria,SYR,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALAZZANI-Hussein-Abdullah-Hussein-3006186/,ALAZZANI Hussein Abdullah Hussein,HUSSEIN ABDULLAH HUSSEIN ABDUL,ALAZZANI,Yemen,YEM,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALHAJ-Wael-3008020/,ALHAJ Wael,WAEL,ALHAJ,Palestine,PLE,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALHASAN-Abdwlkarim-3004311/,ALHASAN Abdwlkarim,ABDWLKARIM,ALHASAN,Syria,SYR,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALI-AMZAD-Mohammad-3021479/,ALI AMZAD Mohammad,MOHAMMAD,ALI AMZAD,Bangladesh,BAN,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALIANSYAH-Muhammad-3025226/,ALIANSYAH Muhammad,MUHAMMAD,ALIANSYAH,Indonesia,INA,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALKARAD-Raja-3004291/,ALKARAD Raja,RAJA,ALKARAD,Syria,SYR,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALMAGHREBI-Mohammed-Abdullah-Derhem-3005941/,ALMAGHREBI Mohammed Abdullah Derhem,MOHAMMED ABDULLAH DERHEM,ALMAGHREBI,Yemen,YEM,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALMENTAY-Bakdaulet-3028877/,ALMENTAY Bakdaulet,BAKDAULET,ALMENTAY,Kazakhstan,KAZ,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALQUHALI-Mohammed-Hasan-Mohammed-G-3006208/,ALQUHALI Mohammed Hasan Mohammed G,MOHAMMED HASAN MOHAMMED GABER,ALQUHALI,Yemen,YEM,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALSABRI-Gamal-Mohammed-Yahya-3005937/,ALSABRI Gamal Mohammed Yahya,GAMAL MOHAMMED YAHYA,ALSABRI,Yemen,YEM,Wrestling,WR
https://en.asiangames2018.id/athletes/athlete/ALTANTSETSEG-Battsetseg-3028124/,ALTANTSETSEG Battsetseg,BATTSETSEG,ALTANTSETSEG,Mongolia,MGL,Wrestling,WR
