url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDUGANIEV-Kanatbek-3000233/,ABDUGANIEV Kanatbek,KANATBEK,ABDUGANIEV,Kyrgyzstan,KGZ,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/AGAMYRADOV-Annageldi-3007739/,AGAMYRADOV Annageldi,ANNAGELDI,AGAMYRADOV,Turkmenistan,TKM,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/AHANGARIAN-Erfan-3001085/,AHANGARIAN Erfan,ERFAN,AHANGARIAN,IR Iran,IRI,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/AHMED-Zahoor-3008749/,AHMED Zahoor,ZAHOOR,AHMED,Pakistan,PAK,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ALHAJJ-Helal-Ali-Mohammed-3006446/,ALHAJJ Helal Ali Mohammed,HELAL ALI MOHAMMED,ALHAJJ,Yemen,YEM,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ALIGAGA-Jessie-3006443/,ALIGAGA Jessie,JESSIE,ALIGAGA,Philippines,PHI,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ALKHUDHARI-Yuosef-Ali-Ali-3007297/,ALKHUDHARI Yuosef Ali Ali,YUOSEF ALI ALI,ALKHUDHARI,Yemen,YEM,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ALRAHOMI-Saddam-Hussein-Hussein-3006433/,ALRAHOMI Saddam Hussein Hussein,SADDAM HUSSEIN HUSSEIN,ALRAHOMI,Yemen,YEM,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ALTAF-Samreen-3008162/,ALTAF Samreen,SAMREEN,ALTAF,Pakistan,PAK,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/AMANBEKOV-Avazbek-3000231/,AMANBEKOV Avazbek,AVAZBEK,AMANBEKOV,Kyrgyzstan,KGZ,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ANG-Guat-Lian-3015713/,ANG Guat Lian,GUAT LIAN,ANG,Brunei Darussalam,BRU,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ARAYA-Tomohiro-3006099/,ARAYA Tomohiro,TOMOHIRO,ARAYA,Japan,JPN,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/ASHIMZHANOV-Sukhrab-3029604/,ASHIMZHANOV Sukhrab,SUKHRAB,ASHIMZHANOV,Kazakhstan,KAZ,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/AYNAZAROVA-Jennet-3007616/,AYNAZAROVA Jennet,JENNET,AYNAZAROVA,Turkmenistan,TKM,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/AZAM-Rabia-3008154/,AZAM Rabia,RABIA,AZAM,Pakistan,PAK,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/BALAWARDHANA-Pethum-Nuwan-3018919/,BALAWARDHANA Pethum Nuwan,PETHUM NUWAN,BALAWARDHANA,Sri Lanka,SRI,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/BETTO-Hibiki-3006184/,BETTO Hibiki,HIBIKI,BETTO,Japan,JPN,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/BOU-GEBRAYEL-Elie-3015349/,BOU GEBRAYEL Elie,ELIE,BOU GEBRAYEL,Lebanon,LBN,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/BUALUANG-Suchaya-3003248/,BUALUANG Suchaya,SUCHAYA,BUALUANG,Thailand,THA,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/BUI-Truong-Giang-3002287/,BUI Truong Giang,TRUONG GIANG,BUI,Vietnam,VIE,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CAHYADI-Yudi-3020148/,CAHYADI Yudi,YUDI,CAHYADI,Indonesia,INA,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CAI-Yingying-3012967/,CAI Yingying,YINGYING,CAI,China,CHN,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CAO-Khac-Dat-3002176/,CAO Khac Dat,KHAC DAT,CAO,Vietnam,VIE,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHAN-Audrey-Yee-Jo-3005325/,CHAN Audrey Yee Jo,AUDREY YEE JO,CHAN,Malaysia,MAS,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHEN-Weiting-3013789/,CHEN Weiting,WEITING,CHEN,Chinese Taipei,TPE,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHEN-Zhouli-3012184/,CHEN Zhouli,ZHOULI,CHEN,China,CHN,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHEONG-Pui-Seng-3003100/,CHEONG Pui Seng,PUI SENG,CHEONG,"Macau, China",MAC,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHIEN-Hungyi-3013777/,CHIEN Hungyi,HUNGYI,CHIEN,Chinese Taipei,TPE,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHO-Seungjae-3013748/,CHO Seungjae,SEUNGJAE,CHO,Republic of Korea,KOR,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHU-Thi-Thuy-Hang-3002282/,CHU Thi Thuy Hang,THI THUY HANG,CHU,Vietnam,VIE,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/CHUANG-Chiawen-3013657/,CHUANG Chiawen,CHIAWEN,CHUANG,Chinese Taipei,TPE,Wushu,WU
https://en.asiangames2018.id/athletes/athlete/DAULETZHAN-Gali-3029610/,DAULETZHAN Gali,GALI,DAULETZHAN,Kazakhstan,KAZ,Wushu,WU
