url,fullname,name,surname,country,noc_code,discipline,discipline_code
https://en.asiangames2018.id/athletes/athlete/ABDUL-WASI-Pazhman-3029747/,ABDUL WASI Pazhman,PAZHMAN,ABDUL WASI,United States,USA,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/ABDULLAH-Abdullah-Majeed-Abdullah-3029802/,ABDULLAH Abdullah Majeed Abdullah,Abdullah Majeed Abdullah,Abdullah,Iraq,IRQ,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/ABU-ISHRAIKH-Nabeel-3000200/,ABU ISHRAIKH Nabeel,NABEEL,ABU ISHRAIKH,Jordan,JOR,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AISHATH-ZANA-Jinah-Abdul-Hannan-3024675/,AISHATH ZANA Jinah Abdul Hannan,JINAH ABDUL HANNAN,AISHATH ZANA,Maldives,MDV,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AITKALI-Ruslan-3029286/,AITKALI Ruslan,Ruslan,Aitkali,Kazakhstan,KAZ,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AKHTARI-Mohammad-Reza-3030497/,AKHTARI Mohammad Reza,MOHAMMAD REZA,AKHTARI,Afghanistan,AFG,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AL-GHAMIAN-Mohammad-Ammar-3016360/,AL GHAMIAN Mohammad Ammar,Mohammad Ammar,Al Ghamian,Syria,SYR,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AL-SAADI-Jasim-Mohammed-Jabbar-3029800/,AL-SAADI Jasim Mohammed Jabbar,Jasim Mohammed Jabbar,Al-Saadi,Iraq,IRQ,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AL-SAADI-Sara-3029780/,AL-SAADI Sara,Sara,Al-Saadi,Qatar,QAT,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/AL-ZUHAIRI-Ihab-Hasan-Ibadi-3029799/,AL-ZUHAIRI Ihab Hasan Ibadi,Ihab Hasan Ibadi,Al-Zuhairi,Iraq,IRQ,Basketball 3x3,B3
https://en.asiangames2018.id/athletes/athlete/ALBANDAK-Marlen-3011094/,ALBANDAK Marlen,MARLEN,ALBANDAK,Palestine,PLE,Basketball 3x3,B3
