url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/XU-Jiayu-3008858/,JIAYU,XU,CHN,Swimming,08/19/1995,,China,23,184,"6'0""",72,159,5,0,0,"[('Beginning', ""He began training for the sport at age seven in Wenzhou, People's Republic of China. (zj.people.com.cn, 23 Oct 2017)""), ('Reason', 'His mother was a swimmer, and she would often take him to the pool when he was a child. (zj.people.com.cn, 23 Oct 2017)'), ('Coach', 'Xu Guoyi [club, national], CHN (ent.zjol.com.cn, 12 Jan 2018)'), ('Ambition', 'To win a gold medal at the 2020 Olympic Games in Tokyo. (sports.sina.com.cn, 02 Sep 2017)'), ('Memorable', 'Winning silver in the 100m backstroke at the 2016 Olympic Games in Rio de Janeiro. (zj.zjol.com.cn, 12 Aug 2016)'), ('Awards', ""He received Merit Citation Class One from the people's government of Zhejiang, People's Republic of China, in recognition of his performance at the 2016 Olympic Games in Rio de Janeiro. (81.cn, 29 Sep 2016)In 2013 he was named an Elite Athlete of International Class by the General Administration of Sport of the People's Republic of China. (chinanews.com, 16 Apr 2013)""), ('Hero', 'Japanese swimmer Ryosuke Irie. (sports.qq.com, 18 Nov 2017)'), ('Influence', 'Coach Xu Guoyi. (zjnews.zjol.com.cn, 24 Aug 2017)'), ('Relatives', ""His mother Yu Zhenzhen competed in swimming for Wenzhou in People's Republic of China. (zj.people.com.cn, 23 Oct 2017)""), ('Nickname', 'Jia Yu [Softshell Turtle]. (zjnews.zjol.com.cn, 26 Jul 2017)'), ('Education', 'Sport Studies - Zhejiang College of Sports, China'), ('Languages', 'Mandarin'), ('Hobbies', 'Watching television. (sports.163.com, 08 Aug 2017)'), ('Highlights', ""RankEventYearLocationResultAsian Games1Men's 4 x 100m Medley Relay2014Incheon, KOR3:31.372100m Backstroke2014Incheon, KOR52.812200m Backstroke2014Incheon, KOR1:55.05350m Backstroke2014Incheon, KOR25.24Olympic Games2100m Backstroke2016Rio de Janeiro, BRA52.314200m Backstroke2016Rio de Janeiro, BRA1:55.168Men's 4 x 100m Medley Relay2016Rio de Janeiro, BRADSQHeats200m Backstroke2012London, GBR2:00.26World Championships1100m Backstroke2017Budapest, HUN52.443Mixed 4 x 100m Medley Relay2017Budapest, HUN3:41.254100m Backstroke2015Kazan, RUS52.894Mixed 4 x 100m Medley Relay2015Kazan, RUS3:44.65550m Backstroke2017Budapest, HUN24.745200m Backstroke2017Budapest, HUN1:55.266Men's 4 x 100m Medley Relay2017Budapest, HUN3:31.656200m Backstroke2015Kazan, RUS1:55.207200m Backstroke2013Barcelona, ESP1:57.13Semifinal100m Backstroke2013Barcelona, ESP53.84Heats50m Backstroke2015Kazan, RUS25.71HeatsMen's 4 x 100m Medley Relay2015Kazan, RUS3:35.21HeatsMen's 4 x 100m Medley Relay2013Barcelona, ESP3:35.95Asian Championships150m Backstroke2016Tokyo, JPN24.651100m Backstroke2016Tokyo, JPN53.021200m Backstroke2016Tokyo, JPN1:55.191Men's 4 x 100m Medley Relay2016Tokyo, JPN3:33.431100m Backstroke2012Dubai, UAE54.241Men's 4 x 100m Medley Relay2012Dubai, UAE2200m Backstroke2012Dubai, UAE1:58.94350m Backstroke2012Dubai, UAE25.89East Asian Games1100m Backstroke2013Tianjin, CHN53.901200m Backstroke2013Tianjin, CHN1:57.452Men's 4 x 100m Medley Relay2013Tianjin, CHN3:35.43World Championships Short Course3100m Backstroke2016Windsor, ON, CAN50.0244 x 50m Medley Relay2016Windsor, ON, CAN1:38.936200m Backstroke2016Windsor, ON, CAN1:51.3764 x 50m Medley Relay2016Windsor, ON, CAN1:33.9874 x 100m Medley Relay2016Windsor, ON, CAN3:26.87850m Backstroke2016Windsor, ON, CAN23.54"")]",['http://weibo.com/u/2243244911'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008858.html
https://en.asiangames2018.id/athletes/athlete/SUN-Yang-3008844/,YANG,SUN,CHN,Swimming,12/01/1991,,China,26,198,"6'6""",89,196,4,2,0,"[('Beginning', ""He took up the sport in 1998 in Hangzhou, People's Republic of China. (2012.sina.com.cn, 30 Jul 2012)""), ('Reason', ""His potential was recognized by a teacher at Jinglun Sports School in Hangzhou, People's Republic of China. (2012.sina.com.cn, 30 Jul 2012)""), ('Debut', '2007 for China, World Championships in Melbourne, Australia (sports.sina.com.hk, 02 Mar 2007)'), ('Coach', 'Zhu Zhigen [club], CHN (sports.hangzhou.com.cn, 04 Jun 2018)'), ('Ambition', 'To win multiple gold medals at the 2020 Olympic Games in Tokyo. (finance.sina.com.cn, 17 May 2017)'), ('Awards', 'In 2017 he was presented with a prize for his ""Outstanding Contribution for Swimming Popularity in China"" by the International Swimming Federation [FINA]. (fina.org, 02 Dec 2017)He was named the 2016 Male Athlete of Year by the sport bureau of Zhejiang province. (sports.sina.com.cn, 2017)In 2013 and 2015 he was named Best Male Swimmer at the world championships. (olympictalk.nbcsports.com, 09 Aug 2015; sports.sina.com.cn, 05 Aug 2013)In 2011 and 2012 he was named Best Male Athlete at the China Central Television [CCTV] Sports Personality of the Year awards. (hinews.cn, 05 Feb 2013; sports.qq.com, 15 Jan 2012)'), ('Additional Information', ""GeneralNATIONAL FIRSTHe became the first Chinese swimmer to win an Olympic gold medal when he placed first in the 400m freestyle at the 2012 Games in London. (nytimes.com, 28 Jul 2012)SANCTIONHe tested positive for the prohibited substance trimetazidine at the 2014 National Championships in Hangzhou, People's Republic of China. He was banned from the sport for three months by the China Anti-Doping Agency [CHINADA]. Sun claimed he had been taking medication containing trimetazidine to treat a heart condition since 2008 and was unaware it had been added to the World Anti-Doping Agency [WADA] banned list in 2014. (sports.163.com, 25 Nov 2014) ""), ('Hero', 'Chinese swimmer Zhang Lin. (sports.people.com.cn, 30 Jul 2012)'), ('Relatives', ""His father played basketball for Anhui Tigong, and his mother competed in volleyball for Zhejiang in the People's Republic of China. (sports.163.com, 18 Sep 2012; sports.cn.yahoo.com, 11 Sep 2012; sports.people.com.cn, 30 Jul 2012)""), ('Nickname', 'The Underwater Meteor (dzxw.net, 29 Jul 2012)'), ('Injuries', 'He was affected by a high fever during the 1500m heats at the 2016 Olympic Games in Rio de Janeiro, and he failed to progress through to the next round. (ONS, 13 Aug 2016)He broke the fifth metatarsal bone in his right foot during a training session in Australia in January 2016. He returned to training in March 2016. (gzdaily.dayoo.com, 30 Jan 2016)He withdrew from the final of the 1500m freestyle at the 2015 World Championships in Kazan, Russian Federation, due to what he described as heart problems. (olympictalk.nbcsports.com, 09 Aug 2015)He had foot surgery for a toenail infection in February 2014. (swimvortex.com, 07 Mar 2014; cntv.cn, 21 Mar 2014)'), ('Education', 'Sport Studies - Zhejiang University, Hangzhou, CHN'), ('Languages', 'Mandarin'), ('Hobbies', 'Listening to music. (Weibo profile, 05 Jul 2018)'), ('Highlights', ""RankEventYearLocationResultAsian Games1400m Freestyle2014Incheon, KOR3:43.2311500m Freestyle2014Incheon, KOR14:49.7514 x 100m Freestyle Relay2014Incheon, KOR3:13.4711500m Freestyle2010Guangzhou, CHN14:35.4314 x 200m Freestyle Relay2010Guangzhou, CHN7:07.682200m Freestyle2014Incheon, KOR1:45.282200m Freestyle2010Guangzhou, CHN1:46.252400m Freestyle2010Guangzhou, CHN3:42.47Olympic Games1200m Freestyle2016Rio de Janeiro, BRA1:44.651400m Freestyle2012London, GBR3:40.1411500m Freestyle2012London, GBR14:31.022400m Freestyle2016Rio de Janeiro, BRA3:41.682200m Freestyle2012London, GBR1:44.9334 x 200m Freestyle Relay2012London, GBR7:06.3081500m Freestyle2008Beijing, CHN15:05.12Heats1500m Freestyle2016Rio de Janeiro, BRA15:01.97Heats400m Freestyle2008Beijing, CHN3:50.90Heats4 x 200m Freestyle Relay2008Beijing, CHN7:13.57World Championships1200m Freestyle2017Budapest, HUN1:44.391400m Freestyle2017Budapest, HUN3:41.381400m Freestyle2015Kazan, RUS3:42.581800m Freestyle2015Kazan, RUS7:39.961400m Freestyle2013Barcelona, ESP3:41.591800m Freestyle2013Barcelona, ESP7:41.3611500m Freestyle2013Barcelona, ESP14:41.151800m Freestyle2011Shanghai, CHN7:38.5711500m Freestyle2011Shanghai, CHN14:34.142200m Freestyle2015Kazan, RUS1:45.202400m Freestyle2011Shanghai, CHN3:43.2434 x 200m Freestyle Relay2013Barcelona, ESP7:04.7434 x 200m Freestyle Relay2011Shanghai, CHN7:05.6731500m Freestyle2009Rome, ITA14:46.845800m Freestyle2017Budapest, HUN7:48.876Men's 4 x 100m Medley Relay2017Budapest, HUN3:31.6581500m Freestyle2015Kazan, RUSHeats400m Freestyle2009Rome, ITA3:47.51Heats4 x 200m Freestyle Relay2009Rome, ITA7:20.50Heats400m Freestyle2007Melbourne, VIC, AUS3:56.11Heats800m Freestyle2007Melbourne, VIC, AUS8:08.12Heats1500m Freestyle2017Budapest, HUNDNSAsian Championships1200m Freestyle2012Dubai, UAE1:45.491400m Freestyle2012Dubai, UAE3:42.4911500m Freestyle2012Dubai, UAE14:44.101400m Freestyle2009Foshan, CHN3:49.8611500m Freestyle2009Foshan, CHN14:57.3314 x 200m Freestyle Relay2009Foshan, CHN7:21.94East Asian Games1400m Freestyle2009Hong Kong, CHN3:46.1611500m Freestyle2009Hong Kong, CHN14:58.3524 x 200m Freestyle Relay2009Hong Kong, CHN7:20.21"")]",['http://weibo.com/sunyangswim'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008844.html
https://en.asiangames2018.id/athletes/athlete/KOSEKI-Yasuhiro-3026148/,YASUHIRO,KOSEKI,JPN,Swimming,03/14/1992,,Japan,26,188,"6'2""",84,185,3,2,0,"[('Beginning', 'He took up swimming at age four at the Tsuruoka City Swimming Club in Japan, and he began to pursue the sport seriously in middle school. (sports.yahoo.co.jp, 23 Jun 2015; shonai-nippo.co.jp, 07 Nov 2014)'), ('Reason', 'His parents encouraged him to take up the sport, and swimming was popular in his hometown. (sports.yahoo.co.jp, 23 Jun 2015)'), ('Coach', 'Norimasa Hirai [national], JPN; Yoshihiro Fujimori [personal], JPN (swim.or.jp, 01 Oct 2017; sports.yahoo.co.jp, 13 Jul 2017)'), ('Ambition', 'To win a medal at the 2020 Olympic Games in Tokyo. (sanspo.com, 12 Jan 2018)'), ('Awards', 'He received an Excellence Award at the 2016 Japan Aquatics Awards. (tobiuojapan.org, 30 Jan 2017)He received the Yamagata Prefecture Sports Honorary Award in Japan in 2013 and 2014. (pref.yamagata.jp, 23 Feb 2015; pref.yamagata.jp, 26 Feb 2014)'), ('Hero', 'Japanese swimmer Kosuke Kitajima. (sports.yahoo.co.jp, 23 Jun 2015)'), ('Influence', 'His family. (nikkansports.com, 29 Jul 2017)'), ('Education', 'Physical Education - Nippon Sport Science University, Tokyo, JPN'), ('Languages', 'Japanese'), ('Hobbies', 'Reading comic books. (tokyo-sports.co.jp, 14 Apr 2015)'), ('Highlights', ""RankEventYearLocationResultAsian Games250m Breaststroke2014Incheon, KOR27.892100m Breaststroke2014Incheon, KOR1:00.232Men's 4 x 100m Medley Relay2014Incheon, KOR3:31.703200m Breaststroke2014Incheon, KOR2:09.48Olympic Games5200m Breaststroke2016Rio de Janeiro, BRA2:07.805Men's 4 x 100m Medley Relay2016Rio de Janeiro, BRA3:31.976100m Breaststroke2016Rio de Janeiro, BRA59.37World Championships2200m Breaststroke2017Budapest, HUN2:07.294100m Breaststroke2017Budapest, HUN59.104Men's 4 x 100m Medley Relay2017Budapest, HUN3:30.195200m Breaststroke2015Kazan, RUS2:09.126Men's 4 x 100m Medley Relay2015Kazan, RUS3:31.10Semifinal50m Breaststroke2017Budapest, HUN27.17Semifinal100m Breaststroke2015Kazan, RUS1:00.31Heats50m Breaststroke2015Kazan, RUS28.13Asian Championships150m Breaststroke2016Tokyo, JPN27.622100m Breaststroke2016Tokyo, JPN1:00.022Men's 4 x 100m Medley Relay2016Tokyo, JPN3:35.484200m Breaststroke2016Tokyo, JPN2:13.25East Asian Games1100m Breaststroke2013Tianjin, CHN1:00.521Men's 4 x 100m Medley Relay2013Tianjin, CHN3:34.633200m Breaststroke2013Tianjin, CHN2:12.83World Championships Short Course4200m Breaststroke2014Doha, QAT2:02.455100m Breaststroke2014Doha, QAT57.0674 x 100m Medley Relay2014Doha, QAT3:22.92Semifinal50m Breaststroke2014Doha, QAT26.91Heats4 x 50m Medley Relay2014Doha, QAT1:34.99Mare Nostrum150m Breaststroke2018Monaco26.941100m Breaststroke2018Monaco58.781100m Breaststroke2018Barcelona, ESP59.011100m Breaststroke2017Monaco1:00.081200m Breaststroke2017Monaco2:09.491100m Breaststroke2015Monaco59.93250m Breaststroke2018Barcelona, ESP27.16250m Breaststroke2018Canet-en-Roussillon, FRA27.192100m Breaststroke2018Canet-en-Roussillon, FRA59.552100m Breaststroke2017Canet-en-Roussillon, FRA59.662200m Breaststroke2017Canet-en-Roussillon, FRA2:10.942100m Breaststroke2015Barcelona, ESP59.812100m Breaststroke2015Canet-en-Roussillon, FRA59.962200m Breaststroke2015Monaco2:11.252200m Breaststroke2015Barcelona, ESP2:10.603200m Breaststroke2018Monaco2:08.993200m Breaststroke2018Canet-en-Roussillon, FRA2:09.19350m Breaststroke2017Canet-en-Roussillon, FRA27.58350m Breaststroke2015Monaco27.65350m Breaststroke2015Canet-en-Roussillon, FRA27.564200m Breaststroke2018Barcelona, ESP2:09.51450m Breaststroke2017Monaco27.57750m Breaststroke2015Barcelona, ESP28.048200m Breaststroke2015Canet-en-Roussillon, FRADSQ"")]",['https://www.facebook.com/profile.php?id=100004307566272'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3026148.html
https://en.asiangames2018.id/athletes/athlete/YAN-Zibei-3014934/,ZIBEI,YAN,CHN,Swimming,10/12/1995,,China,22,190,"6'3""",75,165,2,2,0,"[('Beginning', ""He took up the sport in first grade at primary school in Xiangyang, People's Republic of China. (edu.gmw.cn, 20 Jul 2016 )""), ('Reason', 'His first coach spotted his talent for the sport. (edu.gmw.cn, 20 Jul 2016 )'), ('Coach', 'Zheng Shan [club, national], CHN (hb.ifeng.com, 24 Apr 2018; mini.eastday.com, 13 Apr 2017)'), ('Ambition', 'To beat Japanese swimmer Yasuhiro Koseki at the 2018 Asian Games in Indonesia. (news.sina.com.cn, 16 Apr 2018)'), ('Memorable', 'Winning a gold medal at a 2017 meet in Japan, his first international victory. (sports.163.com, 19 Sep 2017)'), ('Awards', ""In 2018 he was named a representative of Hubei Province at the National People's Congress in Beijing, People's Republic of China. (news.cnhubei.com, 29 Jan 2018)In 2017 he was named an Elite Athlete of International Class by the General Administration of Sport of China. (sport.gov.cn, 31 May 2017)In 2012 he was named an Elite Athlete of National Class by the General Administration of Sport of China. (china.com.cn, 02 Feb 2012)""), ('Nickname', 'A-Bei, Wa Wang (sports.qq.com, 22 May 2017)'), ('Education', 'China University of Geosciences, China'), ('Languages', 'Mandarin'), ('Hobbies', 'Listening to music, watching videos. (Weibo profile, 31 Jul 2017)'), ('Highlights', ""RankEventYearLocationResultOlympic GamesHeats100m Breaststroke2016Rio de Janeiro, BRA1:00.88World Championships3Mixed 4 x 100m Medley Relay2017Budapest, HUN3:41.256Men's 4 x 100m Medley Relay2017Budapest, HUN3:31.657100m Breaststroke2017Budapest, HUN59.42Semifinal50m Breaststroke2017Budapest, HUN27.33Asian Championships1Men's 4 x 100m Medley Relay2016Tokyo, JPN3100m Breaststroke2016Tokyo, JPN1:00.14450m Breaststroke2016Tokyo, JPN27.85World Championships Short Course44 x 50m Medley Relay2016Windsor, ON, CAN1:38.9364 x 50m Medley Relay2016Windsor, ON, CAN1:33.9874 x 100m Medley Relay2016Windsor, ON, CAN3:26.87Semifinal50m Breaststroke2016Windsor, ON, CAN26.95Semifinal100m Breaststroke2016Windsor, ON, CAN58.01Heats200m Breaststroke2016Windsor, ON, CAN2:06.54Mare Nostrum6200m Breaststroke2015Canet-en-Roussillon, FRA2:13.5110100m Breaststroke2015Barcelona, ESP1:01.5010200m Breaststroke2015Barcelona, ESP2:14.3311100m Breaststroke2015Canet-en-Roussillon, FRA1:01.692050m Breaststroke2015Barcelona, ESP29.122050m Breaststroke2015Canet-en-Roussillon, FRA29.00"")]",['http://weibo.com/u/2058784061'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3014934.html
https://en.asiangames2018.id/athletes/athlete/YU-Hexin-3013264/,HEXIN,YU,CHN,Swimming,01/01/1996,,China,22,194,"6'4""",87,192,2,1,1,"[('Beginning', ""He took up the sport at age five in Guangzhou, People's Republic of China. (gzdaily.dayoo.com, 28 Oct 2014)""), ('Reason', 'He liked playing in water from a young age. His parents introduced him to swimming to improve his health because he always suffered from fevers when he was young. (sports.163.com, 23 Aug 2014; gzdaily.dayoo.com, 28 Oct 2014)'), ('Debut', '2014 for China, Asian Games in Incheon, Republic of Korea (sports.qq.com, 04 Oct 2014)'), ('Coach', 'He Xinzhong [club], CHN (sport.gov.cn, 27 May 2017)'), ('Hero', 'Portuguese football player Cristiano Ronaldo. (news.ifeng.com, 23 Aug 2014)'), ('Education', 'South China University of Technology, Guangzhou, CHN'), ('Languages', 'Mandarin'), ('Highlights', ""RankEventYearLocationResultAsian Games14 x 100m Freestyle Relay2014Incheon, KOR3:13.471Men's 4 x 100m Medley Relay2014Incheon, KORCR450m Freestyle2014Incheon, KOR22.374100m Freestyle2014Incheon, KOR49.50Olympic GamesHeats50m Freestyle2016Rio de Janeiro, BRA22.20Heats100m Freestyle2016Rio de Janeiro, BRA48.87Heats4 x 100m Freestyle Relay2016Rio de Janeiro, BRADSQWorld Championships6Men's 4 x 100m Medley Relay2017Budapest, HUN3:31.6574 x 100m Freestyle Relay2015Kazan, RUS3:15.4174 x 100m Freestyle Relay2015Kazan, RUS3:26.94Heats50m Freestyle2017Budapest, HUN22.41Heats100m Freestyle2017Budapest, HUN49.08Heats4 x 100m Freestyle Relay2017Budapest, HUN3:17.69Heats50m Freestyle2015Kazan, RUS22.51Heats100m Freestyle2015Kazan, RUS49.50Heats50m Butterfly2015Kazan, RUS23.87Asian Championships150m Freestyle2016Tokyo, JPN22.0314 x 100m Freestyle Relay2016Tokyo, JPN3:16.371Men's 4 x 100m Medley Relay2016Tokyo, JPN3:33.433100m Freestyle2016Tokyo, JPN48.81World Championships Short Course54 x 50m Freestyle Relay2014Doha, QAT1:27.7064 x 50m Medley Relay2016Windsor, ON, CAN1:33.9884 x 50m Freestyle Relay2016Windsor, ON, CAN1:26.76Heats50m Freestyle2016Windsor, ON, CAN21.99Heats100m Freestyle2016Windsor, ON, CAN49.33Heats4 x 50m Freestyle Relay2016Windsor, ON, CAN1:32.68Heats4 x 100m Freestyle Relay2016Windsor, ON, CAN3:12.97Heats50m Freestyle2014Doha, QAT22.08Heats100m Freestyle2014Doha, QAT48.69Heats4 x 100m Freestyle Relay2014Doha, QAT3:12.09Youth Olympic Games150m Freestyle2014Nanjing, CHN22.00150m Butterfly2014Nanjing, CHN23.6914 x 100m Freestyle Relay2014Nanjing, CHN3:27.021Mixed 4 x 100m Medley Relay2014Nanjing, CHN3:49.332100m Freestyle2014Nanjing, CHN49.06Heats4 x 100m Freestyle Relay2014Nanjing, CHNDSQHeatsMen's 4 x 100m Medley Relay2014Nanjing, CHNDSQ"")]",['http://weibo.com/u/1884722534'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013264.html
https://en.asiangames2018.id/athletes/athlete/CHOU-Enping-3007141/,ENPING,CHOU,TPE,Canoe/Kayak Sprint,10/12/1985,,,32,183,"6'0""",78,172,2,1,0,"[('Education', 'Hualien University of Education, Chinese Taipei'), ('Languages', 'Mandarin'), ('Highlights', 'CANOE SPRINTRankEventYearLocationResultAsian Games6Canoe Single (C1) 1000m2014Incheon, KOR4:17.18311Canoe Single (C1) 200m2014Incheon, KOR43.912World Championships18Canoe Single (C1) 5000m2014Moscow, RUS26:34.28121Canoe Single (C1) 500m2014Moscow, RUS2:00.35323Canoe Single (C1) 1000m2017Racice, CZE4:19.79724Canoe Single (C1) 1000m2014Moscow, RUS4:15.20727Canoe Single (C1) 500m2013Duisburg, GER2:03.42737Canoe Single (C1) 200m2013Duisburg, GER45.678DNSCanoe Single (C1) 5000m2017Racice, CZEDNSWorld Cup23Canoe Single (C1) 1000m2017Racice, CZE4:19.79724Canoe Single (C1) 1000m2017Szeged, HUN4:04.339Asian Championships7Canoe Single (C1) 1000m2017Shanghai, CHN4:10.647')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007141.html
https://en.asiangames2018.id/athletes/athlete/LIN-Minhao-3007146/,MINHAO,LIN,TPE,Canoe/Kayak Sprint,05/20/1992,,,26,172,"5'8""",76,168,2,1,0,"[('Coach', 'Hou Hung Chang [national], TPE; Huang Chun Ting [national], TPE (news.ebc.net.tw, 23 Jul 2018)'), ('Education', 'Taitung University, Chinese Taipei'), ('Languages', 'Mandarin'), ('Highlights', 'RankEventYearLocationResultAsian Games5Canoe TBR 250m2010Guangzhou, CHN51.9275Canoe TBR 500m2010Guangzhou, CHN1:48.5325Canoe TBR 1000m2010Guangzhou, CHN3:41.268')]",['https://www.facebook.com/profile.php?id=100001701622097'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007146.html
https://en.asiangames2018.id/athletes/athlete/LIN-Shengru-3007149/,SHENGRU,LIN,TPE,Canoe/Kayak Sprint,06/04/1990,,,28,181,"5'11""",72,159,2,1,0,"[('Beginning', 'He began paddling at age 14. (Mr. Canoe Facebook page, 02 Oct 2017)'), ('Coach', 'Hou Hung Chang [national], TPE; Huang Chun Ting [national], TPE (news.ebc.net.tw, 23 Jul 2018)'), ('Education', 'University of Taipei, Chinese Taipei'), ('Languages', 'Mandarin'), ('Highlights', 'TRADITIONAL BOAT RACINGRankEventYearLocationResultAsian Games5Canoe TBR 250m2010Guangzhou, CHN51.9275Canoe TBR 500m2010Guangzhou, CHN1:48.5325Canoe TBR 1000m2010Guangzhou, CHN3:41.268CANOE SPRINTRankEventYearLocationResultWorld Championships25Kayak Double (K2) 500m2013Duisburg, GER1:44.68328Kayak Double (K2) 200m2013Duisburg, GER37.076')]","['https://instagram.com/shengrulin', 'https://www.facebook.com/shengru.lin.12', 'https://instagram.com/shengrulin']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007149.html
https://en.asiangames2018.id/athletes/athlete/CHEN-Tzu-Hsien-3007152/,TZU HSIEN,CHEN,TPE,Canoe/Kayak Sprint,10/23/1997,,,20,169,"5'7""",70,154,2,1,0,[],[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007152.html
https://en.asiangames2018.id/athletes/athlete/WU-Chunchieh-3007156/,CHUNCHIEH,WU,TPE,Canoe/Kayak Sprint,08/16/1989,,,29,171,"5'7""",76,168,2,1,0,"[('Beginning', 'He began paddling when he was in middle school. (chinanews.com, 14 Jun 2017)'), ('Coach', 'Hou Hung Chang [national], TPE; Huang Chun Ting [national], TPE (news.ebc.net.tw, 23 Jul 2018)'), ('Education', 'Dong Hwa University, Hua-lien, TPE'), ('Languages', 'Mandarin'), ('Highlights', 'TRADITIONAL BOAT RACINGRankEventYearLocationResultAsian Games5Canoe TBR 250m2010Guangzhou, CHN51.9275Canoe TBR 500m2010Guangzhou, CHN1:48.5325Canoe TBR 1000m2010Guangzhou, CHN3:41.268CANOE SPRINTRankEventYearLocationResultWorld Championships25Kayak Double (K2) 500m2013Duisburg, GER1:44.68328Kayak Double (K2) 200m2013Duisburg, GER37.07629Kayak Double (K2) 200m2007Duisburg, GER41.34947Kayak Double (K2) 500m2007Duisburg, GER1:56.297World Cup47Kayak Single (K1) 200m2017Szeged, HUN39.623')]",['https://www.facebook.com/jyunjie.wu.9'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3007156.html
