url,name,surname,nationality,discipline,birth_date,birth_city, birth_country,age,height_cm,height,weight_kg,weight_lbs,gold,silver,bronze,bio,social,bio_url
https://en.asiangames2018.id/athletes/athlete/IKEE-Rikako-3006657/,RIKAKO,IKEE,JPN,Swimming,07/04/2000,TOKYO,Japan,18,170,"5'7""",57,126,6,2,0,"[('Beginning', 'She began the sport at age three. (nikkansports.com, 03 Aug 2015)'), ('Reason', 'She was influenced by her older brother and sister. (nikkansports.com, 03 Aug 2015)'), ('Debut', '2014 for Japan, World Cup in Tokyo, Japan (tobiuojapan.org, 04 Jul 2015)'), ('Coach', 'Norimasa Hirai [national], JPN; Jiro Miki [personal], JPN, from 2018 (swimswam.com, 24 May 2018; asahi.com, 13 Jan 2018; big-s.info, 10 Apr 2017)'), ('Ambition', 'To set a world record in the 100m butterfly. (reuters.com, 25 Aug 2018)'), ('Awards', 'She was given an Excellence Award and Arena Sprint Award at the 2017 Japan Aquatic Awards. (tobiuojapan.org, 23 Jan 2018)She received Big Sports Award at the 2017 TV Asahi Big Sports Awards in Japan. (sportsbull.jp, 12 Jan 2018)She was awarded the FINA Trophy for the Best Female Swimmer at the 2017 World Junior Championships in Indianapolis, IN, United States of America. (fina.org, 29 Aug 2017)She was presented with a Rookie Award at the 2015 Japan Aquatic Awards. (swim.or.jp, 26 Jan 2016)'), ('Additional Information', 'GeneralASIAN GAMES FIRSTSShe is the first swimmer, male or female, to win six gold medals at a single edition of the Asian Games. She claimed victory in two relay events and four individual events at the 2018 Games in Indonesia. She also became the first female athlete from any sport to win six gold medals at a single edition of the Asian Games. (SportsDeskOnline, 31 Aug 2018; reuters.com, 25 Aug 2018) '), ('Hero', 'Japanese swimmer Kosuke Hagino. (s-re.jp, 2014)'), ('Injuries', 'She sustained pain in her left shoulder and ankle in 2017. (hochi.co.jp, 26 Jul 2017)'), ('Languages', 'Japanese'), ('Hobbies', 'Reading. (nikkansports.com, 03 Aug 2015)'), ('Highlights', ""RankEventYearLocationResultOlympic Games5100m Butterfly2016Rio de Janeiro, BRA56.8684 x 100m Freestyle Relay2016Rio de Janeiro, BRA3:37.7884 x 200m Freestyle Relay2016Rio de Janeiro, BRA7:56.76Semifinal100m Freestyle2016Rio de Janeiro, BRA54.31Heats50m Freestyle2016Rio de Janeiro, BRA25.45Heats200m Freestyle2016Rio de Janeiro, BRA1:58.49HeatsWomen's 4 x 100m Medley Relay2016Rio de Janeiro, BRA3:59.82World Championships44 x 100m Freestyle Relay2017Budapest, HUN3:24.7854 x 200m Freestyle Relay2017Budapest, HUN7:50.436100m Butterfly2017Budapest, HUN57.0874 x 100m Freestyle Relay2017Budapest, HUN3:38.2474 x 200m Freestyle Relay2015Kazan, RUS7:54.62Semifinal50m Freestyle2017Budapest, HUN24.84Semifinal50m Butterfly2017Budapest, HUN25.90Heats100m Freestyle2017Budapest, HUN54.91Heats50m Butterfly2015Kazan, RUS26.66Heats4 x 100m Freestyle Relay2015Kazan, RUS3:28.54Heats4 x 100m Freestyle Relay2015Kazan, RUS3:38.47Asian Championships150m Freestyle2016Tokyo, JPN24.90150m Butterfly2016Tokyo, JPN25.741100m Butterfly2016Tokyo, JPN57.461Women's 4 x 100m Medley Relay2016Tokyo, JPN3:57.972100m Freestyle2016Tokyo, JPN53.6824 x 100m Freestyle Relay2016Tokyo, JPN3:37.7124 x 200m Freestyle Relay2016Tokyo, JPN7:58.07World Championships Short Course350m Butterfly2016Windsor, ON, CAN25.323100m Butterfly2016Windsor, ON, CAN55.6434 x 50m Medley Relay2016Windsor, ON, CAN1:38.454100m Freestyle2016Windsor, ON, CAN52.1244 x 100m Medley Relay2016Windsor, ON, CAN3:50.2854 x 50m Freestyle Relay2016Windsor, ON, CAN1:30.9554 x 100m Freestyle Relay2016Windsor, ON, CAN3:34.0954 x 200m Freestyle Relay2016Windsor, ON, CAN7:41.97Semifinal50m Freestyle2016Windsor, ON, CAN24.42Mare Nostrum1100m Freestyle2018Monaco53.641100m Freestyle2018Canet-en-Roussillon, FRA53.10150m Butterfly2018Monaco25.53150m Butterfly2018Barcelona, ESP25.32150m Butterfly2018Canet-en-Roussillon, FRA25.111100m Butterfly2018Monaco56.231100m Butterfly2018Barcelona, ESP56.401100m Butterfly2018Canet-en-Roussillon, FRA57.47250m Freestyle2018Monaco25.18250m Butterfly2017Canet-en-Roussillon, FRA25.79250m Butterfly2017Monaco25.952100m Freestyle2016Barcelona, ESP54.152100m Butterfly2016Barcelona, ESP57.93250m Butterfly2015Monaco26.29350m Freestyle2018Canet-en-Roussillon, FRA24.803100m Freestyle2018Barcelona, ESP53.923100m Butterfly2015Monaco58.95450m Butterfly2016Canet-en-Roussillon, FRA25.97550m Freestyle2016Barcelona, ESP25.08550m Freestyle2016Canet-en-Roussillon, FRA25.055100m Freestyle2015Barcelona, ESP55.346100m Butterfly2017Canet-en-Roussillon, FRA58.29650m Butterfly2015Canet-en-Roussillon, FRA26.398200m Freestyle2018Barcelona, ESP2:07.568100m Freestyle2016Canet-en-Roussillon, FRA55.989200m Individual Medley2016Barcelona, ESP2:13.5210100m Butterfly2015Canet-en-Roussillon, FRA58.991150m Freestyle2017Canet-en-Roussillon, FRA25.3913200m Freestyle2015Barcelona, ESP2:01.461450m Freestyle2015Monaco26.4214100m Freestyle2015Monaco57.2717100m Freestyle2015Canet-en-Roussillon, FRA55.9118100m Freestyle2017Canet-en-Roussillon, FRA55.112050m Freestyle2015Canet-en-Roussillon, FRA26.1020200m Individual Medley2015Barcelona, ESP2:19.2222100m Backstroke2015Barcelona, ESP1:05.0925200m Freestyle2016Canet-en-Roussillon, FRA2:02.60World Junior Championships150m Freestyle2017Indianapolis, IN, USA24.59150m Butterfly2017Indianapolis, IN, USA25.461100m Butterfly2017Indianapolis, IN, USA57.25150m Butterfly2015Singapore, SIN26.281100m Butterfly2015Singapore, SIN58.282100m Freestyle2017Indianapolis, IN, USA54.16250m Freestyle2015Singapore, SIN25.1934 x 100m Freestyle Relay2017Indianapolis, IN, USA3:40.5934 x 200m Freestyle Relay2017Indianapolis, IN, USA8:02.093Women's 4 x 100m Medley Relay2017Indianapolis, IN, USA3:59.973Women's 4 x 100m Medley Relay2015Singapore, SIN4:03.104100m Freestyle2015Singapore, SIN54.8244 x 100m Freestyle Relay2015Singapore, SIN3:41.674Mixed 4 x 100m Medley Relay2015Singapore, SIN3:50.5064 x 200m Freestyle Relay2015Singapore, SIN8:07.02"")]","['https://twitter.com/rikakoikee', 'https://instagram.com/ikee.rikako', 'https://instagram.com/ikee.rikako']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3006657.html
https://en.asiangames2018.id/athletes/athlete/WANG-Jianjiahe-3009432/,JIANJIAHE,WANG,CHN,Swimming,07/17/2002,,China,16,182,"6'0""",66,146,4,0,0,"[('Beginning', ""She began swimming at age five in Anshan, People's Republic of China. (wemedia.ifeng.com, 21 Nov 2017)""), ('Reason', 'Her parents encouraged her to take up swimming so that she could lose weight. (wemedia.ifeng.com, 21 Nov 2017)'), ('Coach', 'Han Bingyan, CHN (tv.cctv.com, 18 Apr 2018)'), ('Ambition', ""To compete at the 2018 World Championships in Hangzhou, People's Republic of China. (xianzhaiwang.cn, 12 Nov 2017)""), ('Hero', 'US swimmer Katie Ledecky. (wemedia.ifeng.com, 21 Nov 2017)'), ('Languages', 'Mandarin')]",['http://weibo.com/u/5248121006'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009432.html
https://en.asiangames2018.id/athletes/athlete/NA-Ahreum-3013080/,AHREUM,NA,KOR,Cycling Road,03/24/1990,,Republic of Korea,28,163,"5'4""",55,121,4,0,0,"[('Beginning', 'She took up the sport when she was in the sixth grade at primary school. (mbcsportsplus.com, 24 Nov 2017)'), ('Reason', ""Her older brother wanted to take up the sport but the siblings' father said he could only do it if his younger sister joined in. So she started riding with her brother, discovered she enjoyed it and kept it up. (mbcsportsplus.com, 24 Nov 2017)""), ('Debut', '2009 for Republic of Korea (mbcsportsplus.com, 24 Nov 2017)'), ('Coach', 'Jeon Jae-Hyo [club], KOR; Um In-Young [national], KOR; Sean Eadie [national], AUS (kbmaeil.com, 27 Jun 2018)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (mbcsportsplus.com, 24 Nov 2017)'), ('Memorable', ""Competing at the 2010 Asian Games in Guangzhou, People's Republic of China. (mbcsportsplus.com, 24 Nov 2017)""), ('Awards', 'She was named Best Cyclist at the 2017 and 2018 KBS National Championships in Yangyang, Republic of Korea. (kbmaeil.com, 27 Jun 2018; yonhapnews.co.kr, 30 Jun 2017) She was named Best Athlete at the 2017 Sangju City Athletics Awards in the Republic of Korea. (anewsa.com, 22 Dec 2017)She received an Excellence Award at the Korean Sport and Olympic Committee Athletics Awards in 2015. (newsis.com, 10 Feb 2015)She received the 2015 Grand Prize of the Year at the Night of the Cyclists in the Republic of Korea. (moneyweek.co.kr, 20 Jan 2015)She was named the 2014 Best Athlete by the Jeonbuk Sports Council in the Republic of Korea. (jjan.kr, 10 Dec 2014)She was named Best Cyclist at the Korean Cycling Federation Awards in 2009 and 2012. (najutoday.co.kr, 22 Jan 2010; naver.com, 29 Jul 2012)'), ('Additional Information', 'GeneralCOMPETITION FIRSTSHaving claimed gold in the individual time trial at the 2014 Asian Games in Incheon, Republic of Korea, she triumphed in the road race four years later at the 2018 Games in Indonesia to become the first athlete from any nation to have finished on top of the podium in both events at the Asian Games. She also won the individual time trial at the 2018 Asian Games to become the first athlete to have claimed gold in both events at the same edition of the Games. (SportsDeskOnline, 31 Aug 2018; asahi.com, 29 Aug 2018)NATIONAL FIRSTShe became the first female Korean cyclist to win an event at a round of the World Cup when she claimed a victory in the points race at the 2011/12 event in Astana, Kazakhstan. (SportsDeskOnline, 30 Jun 2018; mbcsportsplus.com, 24 Nov 2017; chosun.com, 07 Nov 2017) '), ('Hero', 'Korean track cyclist Cho Ho-Sung, coach Kim Yong-Mi. (bikewhat.com, 01 Apr 2012; segye.com, 27 Jul 2013)'), ('Influence', 'Her parents. (mbcsportsplus.com, 24 Nov 2017)'), ('Relatives', 'Her older sister Na Hee-Kyung was also a cyclist. On the track she won a silver medal in the team pursuit at the 2015 National Championships and on the road she competed in three consecutive road races at the national championships between 2011 and 2013. (jeollailbo.com, 28 Oct 2015; SportsDeskOnline, 02 Mar 2016; mbcsportsplus.com, 24 Nov 2017)'), ('Injuries', ""She was knocked unconscious in a crash during the points race at the 2010 Asian Games in Guangzhou, People's Republic of China. She suffered no long term injuries. (radiokorea.com, 16 Nov 2010)""), ('Languages', 'Korean'), ('Highlights', 'CYCLING TRACKRankEventYearLocationAsian Games2Team Pursuit2014Incheon, KOR3Omnium2014Incheon, KOR43000m Individual Pursuit2010Guangzhou, CHN13Points Race2010Guangzhou, CHNWorld Championships7Scratch2010Ballerup, DEN123000m Individual Pursuit2010Ballerup, DENWorld Cup5Team Pursuit2017/2018Minsk, BLRAsian Championships1Points Race2011Nakhon Ratchasima, THA1Omnium2010Sharjah, UAE2Team Pursuit2014Astana, KAZ2Team Pursuit2011Nakhon Ratchasima, THA23000m Individual Pursuit2010Sharjah, UAE2Team Pursuit2010Sharjah, UAE33000m Individual Pursuit2014Astana, KAZ4Omnium2015Nakhon Ratchasima, THA5Team Pursuit2015Nakhon Ratchasima, THACYCLING ROADRankEventYearLocationAsian Games1Individual Time Trial2014Incheon, KOR6Road Race2010Guangzhou, CHN8Road Race2014Incheon, KOROlympic Games13Road Race2012London, GBR30Road Race2016Rio de Janeiro, BRAAsian Championships1Road Race2016Oshima, JPN1Individual Time Trial2015Nakhon Ratchasima, THA1Individual Time Trial2014Astana, KAZ1Individual Time Trial2012Kuala Lumpur, MAS2Road Race2017Manama, BRN7Road Race2015Nakhon Ratchasima, THA9Road Race2014Astana, KAZUCI World Ranking (as of 29 Jul 2018)290Individual2018')]","['https://instagram.com/ahreum_na/', 'https://www.facebook.com/ahreum.na.7', 'https://instagram.com/ahreum_na/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3013080.html
https://en.asiangames2018.id/athletes/athlete/SAKAI-Natsumi-3026169/,NATSUMI,SAKAI,JPN,Swimming,06/19/2001,,Japan,17,175,"5'9""",63,139,3,1,1,"[('Beginning', 'She began the sport at age six. (hochi.co.jp, 13 Apr 2016)'), ('Reason', 'She took up swimming to lose weight. (hochi.co.jp, 13 Apr 2016)'), ('Coach', 'Norimasa Hirai [national], JPN (swim.or.jp, 28 May 2018)'), ('Awards', 'She received a Glory Award at the 2017 Saitama Sports Awards in Japan. (sai-suiren.net, 14 Mar 2018)In 2016 she was given Best Swimmer Award by the Saitama Swimming Federation in Japan. (sai-suiren.net, 24 May 2017)She received the Oshida Sports Award at the 2015 Saitama Prefecture Sports Awards in Japan. (sai-suiren.net, 13 Mar 2016)'), ('Languages', 'Japanese'), ('Highlights', ""RankEventYearLocationResultOlympic GamesHeats100m Backstroke2016Rio de Janeiro, BRA1:01.74Heats200m Backstroke2016Rio de Janeiro, BRA2:13.99HeatsWomen's 4 x 100m Medley Relay2016Rio de Janeiro, BRA3:59.82Mare Nostrum2100m Backstroke2016Canet-en-Roussillon, FRA1:00.943100m Backstroke2016Barcelona, ESP1:00.91550m Backstroke2016Canet-en-Roussillon, FRA28.756200m Backstroke2016Barcelona, ESP2:12.877200m Backstroke2016Canet-en-Roussillon, FRA2:12.1211200m Individual Medley2016Barcelona, ESP2:15.0927100m Butterfly2016Barcelona, ESP1:03.0236100m Freestyle2016Canet-en-Roussillon, FRA57.59World Junior Championships150m Backstroke2017Indianapolis, IN, USA27.933200m Backstroke2017Indianapolis, IN, USA2:09.3434 x 100m Freestyle Relay2017Indianapolis, IN, USA3:40.593Women's 4 x 100m Medley Relay2017Indianapolis, IN, USA3:59.973Women's 4 x 100m Medley Relay2015Singapore, SIN4:03.104Mixed 4 x 100m Medley Relay2015Singapore, SIN3:50.505100m Backstroke2017Indianapolis, IN, USA59.918200m Backstroke2015Singapore, SIN2:12.51Semifinal50m Backstroke2015Singapore, SIN29.07Semifinal100m Backstroke2015Singapore, SIN1:01.46"")]","['https://instagram.com/natsumi__sakai/', 'https://instagram.com/natsumi__sakai/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3026169.html
https://en.asiangames2018.id/athletes/athlete/ODIONG-Edidiong-3010983/,Edidiong,Odiong,BRN,Athletics,03/13/1997,,Nigeria,21,162,"5'4""",53,117,3,1,0,"[('Reason', 'Her natural talent was discovered and developed by the Cross River Athletics Grassroots Developmental Initiative in Nigeria. (makingofchamps.com, 30 Jun 2016)'), ('Coach', 'Dean Hayes [university] (goblueraiders.com, 14 May 2018)'), ('Awards', 'She was named the 2018 Conference-USA Female Freshman of the Year while competing for Middle Tennessee State University in the United States of America. (goblueraiders.com, 14 May 2018)'), ('Additional Information', 'GeneralFROM NIGERIA TO BAHRAINShe previously represented Nigeria at international level, but in 2014 she switched allegiances to represent Bahrain ahead of the 2016 Olympic Games in Rio de Janeiro. (makingofchamps.com, 30 Jun 2016) '), ('Education', 'Middle Tennessee State University, Murfreesboro, NC, USA'), ('Highlights', 'RankEventYearLocationResultOlympic GamesSemifinal200m2016Rio de Janeiro, BRA22.84World ChampionshipsSemifinal200m2017London, GBR23.24World Junior Championships1200m2016Bydgoszcz, POL22.84')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010983.html
https://en.asiangames2018.id/athletes/athlete/NASER-Salwa-3010985/,Salwa,Naser,BRN,Athletics,05/23/1998,,Nigeria,20,166,"5'5""",55,121,3,1,0,"[('Beginning', 'Her mother was a sprinter at school and Salwa quickly discovered she also had an ability to sprint. ""As kids, we would run around and play, and the other kids would say I was fast."" (iaaf.org, 21 Jul 2015)'), ('Reason', 'She won her first race at age 11 over 100m, and later won over 400m. ""When I finished I felt so bad that I thought I never wanted to run another 400m again. My teacher insisted that I would make a good 400m runner, so I had no choice but to carry on. I am so grateful I listened to my teacher."" (iaaf.org, 21 Jul 2015)'), ('Coach', 'John George Obeya [personal], NGA, from 2016 (iaaf.org, 10 Aug 2017)'), ('Additional Information', 'GeneralYOUNGESTShe became the youngest female athlete to win a medal in 400m at the world championships, when she took silver at the 2017 edition in London, England, at age 19 years and 78 days. (makingofchamps.com, 10 Aug 2017; SportsDeskOnline, 14 May 2018)NATIONAL FIRSTShe was the first female athlete from Bahrain to win a gold medal at the world youth championships, when she triumphed in the 400m final at the 2015 edition of the tournament in Cali, Colombia. She also became the first Asian female athlete to win a medal in 400m at the world championships, when she took silver at the 2017 edition in London, England. (albawaba.com, 19 Jul 2015; athleticsasia.org, 10 Aug 2017; SportsDeskOnline, 14 May 2018)NIGERIA TO BAHRAINShe was born in Nigeria to a Bahraini father and Nigerian mother, and moved with her family to Bahrain as a child. (iaaf.org, 21 Jul 2015) '), ('Hero', 'Bahraini sprinter Rakia Al-Gassra, US sprinter Sanya Richards-Ross, US sprinter Allyson Felix. (iaaf.org, 02 Nov 2015, 10 Aug 2017)'), ('Languages', 'English'), ('Highlights', 'RankEventYearLocationResultOlympic GamesSemifinal400m2016Rio de Janeiro, BRA50.88World Championships2400m2017London, GBR50.06Diamond League1400m2018Lausanne, SUI49.781400m2018Paris Saint-Denis, FRA49.551400m2018Stockholm, SWE49.841400m2018Oslo, NOR49.981400m2017Birmingham, GBR50.592400m2018Monaco, MON49.082400m2017Brussels, BEL49.88Youth Olympic Games2400m2014Nanjing, CHN52.74World Youth Championships1400m2015Cali, COL51.50HeatsMixed 4 x 400m Relay2015Cali, COLDSQ')]","['https://www.facebook.com/salwaeidnaserebelechukwu/', 'https://instagram.com/iam_salwaeidnaser', 'https://instagram.com/iam_salwaeidnaser']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3010985.html
https://en.asiangames2018.id/athletes/athlete/CHEN-Yile-3008271/,Yile,Chen,CHN,Artistic Gymnastics,01/05/2002,,China,16,149,"4'11""",40,88,3,0,0,"[('Beginning', 'She began the sport at age eight. (sohu.com, 17 May 2017)'), ('Coach', 'Wu Baokang [club], CHN (sohu.com, 07 Sep 2017)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (sports.people.com.cn, 11 May 2018)'), ('Languages', 'Mandarin'), ('Hobbies', 'Drawing. (sports.people.com.cn, 11 May 2018)'), ('Highlights', 'RankEventYearLocationResultWorld Cup1Balance Beam2017/2018Melbourne, VIC, AUS14.4662Uneven Bars2017/2018Melbourne, VIC, AUS13.133World Ranking List (as of 14 Apr 2018)11Balance Beam2017/201830')]",['http://weibo.com/tccyl?is_hot=1'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3008271.html
https://en.asiangames2018.id/athletes/athlete/SUZUKI-Satomi-3026178/,SATOMI,SUZUKI,JPN,Swimming,01/29/1991,,Japan,27,168,"5'6""",63,139,3,0,0,"[('Beginning', 'She took up the sport at age four. (Swimming Magazine, 09 Feb 2013)'), ('Reason', 'She was influenced by her older sister. (tfm.co.jp, 25 Oct 2014)'), ('Debut', '2009 for Japan, East Asian Games in Hong Kong, China (Swimming Magazine, 09 Feb 2013)'), ('Coach', 'Norimasa Hirai [national], JPN (swim.or.jp, 01 Oct 2017)'), ('Ambition', 'To compete at the 2020 Olympic Games in Tokyo. (www.tvguide.or.jp, 25 Nov 2017)'), ('Awards', ""She received the Kofu City Mayor Special Award in Japan in 2015 and 2016. (city.kofu.yamanashi.jp, 18 Oct 2016; city.kofu.yamanashi.jp, 01 Dec 2015)In 2012 she received the Fukuoka Prefecture Residents' Sports Medal of Honour in Japan. (kyoto-np.co.jp, 09 Aug 2012)In 2010 she received the Yamanashi Sports Journalists' Award in Japan. (mainichi.jp, 07 Sep 2010)""), ('Hero', 'US swimmer Rebecca Soni. (Swimming Magazine, 11 Apr 2013)'), ('Nickname', 'Bomber (oy-spo.com, 25 Nov 2017)'), ('Education', 'Business Information Systems - Yamanashi Gakuin University, Kofu, JPN'), ('Languages', 'Japanese'), ('Highlights', ""RankEventYearLocationResultAsian Games150m Breaststroke2014Incheon, KOR31.342100m Breaststroke2010Guangzhou, CHN1:07.432Women's 4 x 100m Medley Relay2010Guangzhou, CHN3:58.24350m Breaststroke2010Guangzhou, CHN31.524100m Breaststroke2014Incheon, KOR1:08.615200m Breaststroke2010Guangzhou, CHN2:25.68Olympic Games2200m Breaststroke2012London, GBR2:20.723100m Breaststroke2012London, GBR1:06.463Women's 4 x 100m Medley Relay2012London, GBR3:55.73Semifinal100m Breaststroke2016Rio de Janeiro, BRA1:07.18HeatsWomen's 4 x 100m Medley Relay2016Rio de Janeiro, BRA3:59.82World Championships5Women's 4 x 100m Medley Relay2013Barcelona, ESP3:58.065Women's 4 x 100m Medley Relay2011Shanghai, CHN3:57.84Semifinal50m Breaststroke2017Budapest, HUN30.95Semifinal100m Breaststroke2017Budapest, HUN1:07.08Semifinal200m Breaststroke2017Budapest, HUN2:25.60Semifinal100m Breaststroke2013Barcelona, ESP1:07.83Semifinal200m Breaststroke2013Barcelona, ESP2:25.77Semifinal100m Breaststroke2011Shanghai, CHN1:07.68Heats200m Breaststroke2011Shanghai, CHN2:27.98Heats50m Breaststroke2013Barcelona, ESPDNSHeats50m Breaststroke2011Shanghai, CHNDNSPan Pacific Championships3Women's 4 x 100m Medley Relay2010Irvine, CA, USA3:57.75Asian Championships150m Breaststroke2016Tokyo, JPN31.28East Asian Games2Women's 4 x 100m Medley Relay2009Hong Kong, CHN4:02.60350m Breaststroke2009Hong Kong, CHN31.633100m Breaststroke2009Hong Kong, CHN1:07.98World Championships Short Course34 x 100m Medley Relay2014Doha, QAT3:50.5084 x 50m Medley Relay2014Doha, QAT1:46.72Semifinal50m Breaststroke2014Doha, QAT30.55Semifinal100m Breaststroke2014Doha, QAT1:05.90Heats4 x 50m Medley Relay2014Doha, QAT1:41.78Mare Nostrum350m Breaststroke2017Monaco31.07550m Breaststroke2017Canet-en-Roussillon, FRA31.456100m Breaststroke2017Canet-en-Roussillon, FRA1:08.078200m Breaststroke2017Canet-en-Roussillon, FRA2:31.33"")]","['https://twitter.com/satomi_bomber', 'https://instagram.com/satomin01b/', 'https://www.facebook.com/satomi.suzuki.146', 'https://instagram.com/satomin01b/']",https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3026178.html
https://en.asiangames2018.id/athletes/athlete/LI-Bingjie-3009407/,BINGJIE,LI,CHN,Swimming,03/03/2002,,China,16,173,"5'8""",65,143,2,3,0,"[('Beginning', 'She took up the sport during the first grade of primary school in Baoding, China. (mt.sohu.com, 30 Oct 2015)'), ('Reason', 'Her parents were professional swimmers and often brought her to swimming pools.. (myzaker.com, 02 Aug 2017)'), ('Coach', 'Zhou Yilin [national], CHN'), ('Ambition', 'To win a gold medal at the Olympic Games. (bd.hebnews.cn, 26 Jul 2017)'), ('Awards', 'She was named Rookie of the Year at the 2017 Laureus China Top 10 Athletes Awards. (xinhuanet.com, 21 Dec 2017)'), ('Hero', 'US swimmer Katie Ledecky. (bd.hebnews.cn, 26 Jul 2017)'), ('Relatives', 'Her father Li Jian and her mother Wang Wei both competed in swimming at national level. (myzaker.com, 02 Aug 2017)'), ('Nickname', 'Female Sun Yang (news.ifeng.com, 02 Sep 2017)'), ('Languages', 'Mandarin'), ('Hobbies', 'Drawing. (sports.cctv.com, 24 Jul 2017)'), ('Highlights', 'RankEventYearLocationResultWorld Championships2800m Freestyle2017Budapest, HUN8:15.4624 x 200m Freestyle Relay2017Budapest, HUN7:44.963400m Freestyle2017Budapest, HUN4:03.25Semifinal200m Freestyle2017Budapest, HUN1:57.11Asian Championships1400m Freestyle2016Tokyo, JPN4:07.16World Championships Short CourseHeats400m Freestyle2016Windsor, ON, CAN4:07.03Heats400m Individual Medley2016Windsor, ON, CAN4:40.03')]",['http://weibo.com/u/5690064659'],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009407.html
https://en.asiangames2018.id/athletes/athlete/YANG-Junxuan-3009435/,JUNXUAN,YANG,CHN,Swimming,01/26/2002,,China,16,176,"5'9""",59,130,2,2,1,"[('Beginning', 'She began the sport at age six. (m.look.360.cn, 22 Apr 2018)'), ('Reason', 'She was scouted by coach Sun Zhiwei. (m.look.360.cn, 22 Apr 2018)'), ('Coach', 'Ye Jin [club], CHN; Wang Aimin [club], CHN (sh.qihoo.com, 19 Apr 2018; zynews.com, 08 May 2018)'), ('Relatives', 'Her mother was a professional volleyball player. Her father was an amateur basketball player. (zynews.com, 08 May 2018)'), ('Languages', 'Mandarin'), ('Hobbies', 'Sketching. (zynews.com, 08 May 2018)')]",[],https://externalmodules.asiangames2018.id/en/25/bio/athletes/bio_3009435.html
