rank,id,country_name,gold,silver,bronze,medals,url
1,CHN,China,132,92,65,289,https://en.asiangames2018.id/medals/noc/CHN
2,JPN,Japan,75,56,74,205,https://en.asiangames2018.id/medals/noc/JPN
3,KOR,Republic of Korea,49,58,70,177,https://en.asiangames2018.id/medals/noc/KOR
4,INA,Indonesia,31,24,43,98,https://en.asiangames2018.id/medals/noc/INA
5,UZB,Uzbekistan,21,24,25,70,https://en.asiangames2018.id/medals/noc/UZB
6,IRI,IR Iran,20,20,22,62,https://en.asiangames2018.id/medals/noc/IRI
7,TPE,Chinese Taipei,17,19,31,67,https://en.asiangames2018.id/medals/noc/TPE
8,IND,India,15,24,30,69,https://en.asiangames2018.id/medals/noc/IND
9,KAZ,Kazakhstan,15,17,44,76,https://en.asiangames2018.id/medals/noc/KAZ
10,PRK,DPR Korea,12,12,13,37,https://en.asiangames2018.id/medals/noc/PRK
11,BRN,Bahrain,12,7,7,26,https://en.asiangames2018.id/medals/noc/BRN
12,THA,Thailand,11,16,46,73,https://en.asiangames2018.id/medals/noc/THA
13,HKG,"Hong Kong, China",8,18,20,46,https://en.asiangames2018.id/medals/noc/HKG
14,MAS,Malaysia,7,13,16,36,https://en.asiangames2018.id/medals/noc/MAS
15,QAT,Qatar,6,4,3,13,https://en.asiangames2018.id/medals/noc/QAT
16,MGL,Mongolia,5,9,11,25,https://en.asiangames2018.id/medals/noc/MGL
17,VIE,Vietnam,4,16,18,38,https://en.asiangames2018.id/medals/noc/VIE
18,SGP,Singapore,4,4,14,22,https://en.asiangames2018.id/medals/noc/SGP
19,PHI,Philippines,4,2,15,21,https://en.asiangames2018.id/medals/noc/PHI
20,UAE,United Arab Emirates,3,6,5,14,https://en.asiangames2018.id/medals/noc/UAE
21,KUW,Kuwait,3,1,2,6,https://en.asiangames2018.id/medals/noc/KUW
22,KGZ,Kyrgyzstan,2,6,12,20,https://en.asiangames2018.id/medals/noc/KGZ
23,JOR,Jordan,2,1,9,12,https://en.asiangames2018.id/medals/noc/JOR
24,CAM,Cambodia,2,0,1,3,https://en.asiangames2018.id/medals/noc/CAM
25,KSA,Kingdom of Saudi Arabia,1,2,3,6,https://en.asiangames2018.id/medals/noc/KSA
26,MAC,"Macau, China",1,2,2,5,https://en.asiangames2018.id/medals/noc/MAC
27,IRQ,Iraq,1,2,0,3,https://en.asiangames2018.id/medals/noc/IRQ
28,COR,Korea,1,1,2,4,https://en.asiangames2018.id/medals/noc/COR
28,LBN,Lebanon,1,1,2,4,https://en.asiangames2018.id/medals/noc/LBN
30,TJK,Tajikistan,0,4,3,7,https://en.asiangames2018.id/medals/noc/TJK
31,LAO,Lao PDR,0,2,3,5,https://en.asiangames2018.id/medals/noc/LAO
32,TKM,Turkmenistan,0,1,2,3,https://en.asiangames2018.id/medals/noc/TKM
33,NEP,Nepal,0,1,0,1,https://en.asiangames2018.id/medals/noc/NEP
34,PAK,Pakistan,0,0,4,4,https://en.asiangames2018.id/medals/noc/PAK
35,AFG,Afghanistan,0,0,2,2,https://en.asiangames2018.id/medals/noc/AFG
35,MYA,Myanmar,0,0,2,2,https://en.asiangames2018.id/medals/noc/MYA
37,SYR,Syria,0,0,1,1,https://en.asiangames2018.id/medals/noc/SYR
