rank,name,surname,country,sport,gold,silver,bronze,medals,url
1,RIKAKO,IKEE,Japan,Swimming,6,2,0,8,https://en.asiangames2018.id/athletes/athlete/IKEE-Rikako-3006657/
2,JIAYU,XU,China,Swimming,5,0,0,5,https://en.asiangames2018.id/athletes/athlete/XU-Jiayu-3008858/
3,YANG,SUN,China,Swimming,4,2,0,6,https://en.asiangames2018.id/athletes/athlete/SUN-Yang-3008844/
4,JIANJIAHE,WANG,China,Swimming,4,0,0,4,https://en.asiangames2018.id/athletes/athlete/WANG-Jianjiahe-3009432/
4,AHREUM,NA,Republic of Korea,Cycling Road,4,0,0,4,https://en.asiangames2018.id/athletes/athlete/NA-Ahreum-3013080/
6,YASUHIRO,KOSEKI,Japan,Swimming,3,2,0,5,https://en.asiangames2018.id/athletes/athlete/KOSEKI-Yasuhiro-3026148/
7,NATSUMI,SAKAI,Japan,Swimming,3,1,1,5,https://en.asiangames2018.id/athletes/athlete/SAKAI-Natsumi-3026169/
8,Edidiong,Odiong,Bahrain,Athletics,3,1,0,4,https://en.asiangames2018.id/athletes/athlete/ODIONG-Edidiong-3010983/
8,Salwa,Naser,Bahrain,Athletics,3,1,0,4,https://en.asiangames2018.id/athletes/athlete/NASER-Salwa-3010985/
10,Yile,Chen,China,Artistic Gymnastics,3,0,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-Yile-3008271/
10,SATOMI,SUZUKI,Japan,Swimming,3,0,0,3,https://en.asiangames2018.id/athletes/athlete/SUZUKI-Satomi-3026178/
12,BINGJIE,LI,China,Swimming,2,3,0,5,https://en.asiangames2018.id/athletes/athlete/LI-Bingjie-3009407/
13,JUNXUAN,YANG,China,Swimming,2,2,1,5,https://en.asiangames2018.id/athletes/athlete/YANG-Junxuan-3009435/
14,ZIBEI,YAN,China,Swimming,2,2,0,4,https://en.asiangames2018.id/athletes/athlete/YAN-Zibei-3014934/
15,HEXIN,YU,China,Swimming,2,1,1,4,https://en.asiangames2018.id/athletes/athlete/YU-Hexin-3013264/
16,ENPING,CHOU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHOU-Enping-3007141/
16,MINHAO,LIN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/LIN-Minhao-3007146/
16,SHENGRU,LIN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/LIN-Shengru-3007149/
16,TZU HSIEN,CHEN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-Tzu-Hsien-3007152/
16,CHUNCHIEH,WU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WU-Chunchieh-3007156/
16,YINGCHIEH,CHUANG,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHUANG-Yingchieh-3007158/
16,YUEHHUNG,CHEN CHOU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-CHOU-Yuehhung-3007162/
16,CHENPO,WU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WU-Chenpo-3007166/
16,CHENGYEN,CHIEN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHIEN-Chengyen-3007170/
16,YENYU,TUAN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/TUAN-Yenyu-3007173/
16,CHIHWEI,CHOU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHOU-Chihwei-3007181/
16,WANTING,YIN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/YIN-Wanting-3007188/
16,WEIMIN,WU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WU-Weimin-3007192/
16,YUAN,CHEN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-Yuan-3007195/
16,SHENGHUANG,CHANG,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHANG-Shenghuang-3007202/
16,CHIALIN,HO,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/HO-Chialin-3007209/
16,Jingyuan,Zou,China,Artistic Gymnastics,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/ZOU-Jingyuan-3008256/
16,MANYU,WANG,China,Table Tennis,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WANG-Manyu-3008932/
16,YUFEI,ZHANG,China,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/ZHANG-Yufei-3009429/
16,YUE,LI,China,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/LI-Yue-3010814/
16,TOMOMI,AOKI,Japan,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/AOKI-Tomomi-3026124/
16,KATSUHIRO,MATSUMOTO,Japan,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/MATSUMOTO-Katsuhiro-3026151/
16,SHINRI,SHIOURA,Japan,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/SHIOURA-Shinri-3026173/
39,JOSEPH ISAAC,SCHOOLING,Singapore,Swimming,2,0,2,4,https://en.asiangames2018.id/athletes/athlete/SCHOOLING-Joseph-Isaac-3004548/
40,Chaopan,Lin,China,Artistic Gymnastics,2,0,1,3,https://en.asiangames2018.id/athletes/athlete/LIN-Chaopan-3011699/
40,YOURI,KIM,Republic of Korea,Cycling Track,2,0,1,3,https://en.asiangames2018.id/athletes/athlete/KIM-Youri-3013067/
40,JAFRO,MEGAWANTO,Indonesia,Paragliding,2,0,1,3,https://en.asiangames2018.id/athletes/athlete/MEGAWANTO-Jafro-3017798/
