rank,name,surname,country,sport,gold,silver,bronze,medals,url
1,JIAYU,XU,China,Swimming,5,0,0,5,https://en.asiangames2018.id/athletes/athlete/XU-Jiayu-3008858/
2,YANG,SUN,China,Swimming,4,2,0,6,https://en.asiangames2018.id/athletes/athlete/SUN-Yang-3008844/
3,YASUHIRO,KOSEKI,Japan,Swimming,3,2,0,5,https://en.asiangames2018.id/athletes/athlete/KOSEKI-Yasuhiro-3026148/
4,ZIBEI,YAN,China,Swimming,2,2,0,4,https://en.asiangames2018.id/athletes/athlete/YAN-Zibei-3014934/
5,HEXIN,YU,China,Swimming,2,1,1,4,https://en.asiangames2018.id/athletes/athlete/YU-Hexin-3013264/
6,ENPING,CHOU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHOU-Enping-3007141/
6,MINHAO,LIN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/LIN-Minhao-3007146/
6,SHENGRU,LIN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/LIN-Shengru-3007149/
6,TZU HSIEN,CHEN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-Tzu-Hsien-3007152/
6,CHUNCHIEH,WU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WU-Chunchieh-3007156/
6,YINGCHIEH,CHUANG,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHUANG-Yingchieh-3007158/
6,YUEHHUNG,CHEN CHOU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-CHOU-Yuehhung-3007162/
6,CHENPO,WU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WU-Chenpo-3007166/
6,CHENGYEN,CHIEN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHIEN-Chengyen-3007170/
6,YENYU,TUAN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/TUAN-Yenyu-3007173/
6,CHIHWEI,CHOU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHOU-Chihwei-3007181/
6,WEIMIN,WU,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WU-Weimin-3007192/
6,YUAN,CHEN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-Yuan-3007195/
6,SHENGHUANG,CHANG,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/CHANG-Shenghuang-3007202/
6,CHIALIN,HO,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/HO-Chialin-3007209/
6,Jingyuan,Zou,China,Artistic Gymnastics,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/ZOU-Jingyuan-3008256/
6,KATSUHIRO,MATSUMOTO,Japan,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/MATSUMOTO-Katsuhiro-3026151/
6,SHINRI,SHIOURA,Japan,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/SHIOURA-Shinri-3026173/
24,JOSEPH ISAAC,SCHOOLING,Singapore,Swimming,2,0,2,4,https://en.asiangames2018.id/athletes/athlete/SCHOOLING-Joseph-Isaac-3004548/
25,Chaopan,Lin,China,Artistic Gymnastics,2,0,1,3,https://en.asiangames2018.id/athletes/athlete/LIN-Chaopan-3011699/
25,JAFRO,MEGAWANTO,Indonesia,Paragliding,2,0,1,3,https://en.asiangames2018.id/athletes/athlete/MEGAWANTO-Jafro-3017798/
27,Abdalelah,Hassan,Qatar,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/HASSAN-Abdalelah-3002918/
27,Abderrahman,Samba,Qatar,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SAMBA-Abderrahman-3002983/
27,ANUWAT,CHAICHANA,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/CHAICHANA-Anuwat-3004256/
27,PORNCHAI,KAOKAEW,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/KAOKAEW-Pornchai-3004262/
27,PATTARAPONG,YUPADEE,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/YUPADEE-Pattarapong-3004265/
27,ASSADIN,WONGYOTA,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/WONGYOTA-Assadin-3004285/
27,RACHAN,VIPHAN,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/VIPHAN-Rachan-3004354/
