sp_url,sp_code,sport_name,no_athlete_sp,page_no
https://en.asiangames2018.id/athletes/sport/AR/page/1/,AR,Archery,268,23
https://en.asiangames2018.id/athletes/sport/GA/page/1/,GA,Artistic Gymnastics,146,13
https://en.asiangames2018.id/athletes/sport/SY/page/1/,SY,Artistic Swimming,99,9
https://en.asiangames2018.id/athletes/sport/AT/page/1/,AT,Athletics,800,67
https://en.asiangames2018.id/athletes/sport/BD/page/1/,BD,Badminton,232,20
https://en.asiangames2018.id/athletes/sport/BB/page/1/,BB,Baseball,233,20
https://en.asiangames2018.id/athletes/sport/BK/page/1/,BK,Basketball,380,32
https://en.asiangames2018.id/athletes/sport/B3/page/1/,B3,Basketball 3x3,178,15
https://en.asiangames2018.id/athletes/sport/BV/page/1/,BV,Beach Volleyball,116,10
https://en.asiangames2018.id/athletes/sport/BO/page/1/,BO,Bowling,179,15
https://en.asiangames2018.id/athletes/sport/BX/page/1/,BX,Boxing,207,18
https://en.asiangames2018.id/athletes/sport/BR/page/1/,BR,Bridge,218,19
https://en.asiangames2018.id/athletes/sport/CS/page/1/,CS,Canoe/Kayak Slalom,57,5
https://en.asiangames2018.id/athletes/sport/CF/page/1/,CF,Canoe/Kayak Sprint,496,42
https://en.asiangames2018.id/athletes/sport/CB/page/1/,CB,Cycling BMX,23,2
https://en.asiangames2018.id/athletes/sport/CM/page/1/,CM,Cycling Mountain Bike,49,5
https://en.asiangames2018.id/athletes/sport/CR/page/1/,CR,Cycling Road,63,6
https://en.asiangames2018.id/athletes/sport/CT/page/1/,CT,Cycling Track,209,18
https://en.asiangames2018.id/athletes/sport/DV/page/1/,DV,Diving,87,8
https://en.asiangames2018.id/athletes/sport/EQ/page/1/,EQ,Equestrian,139,12
https://en.asiangames2018.id/athletes/sport/FE/page/1/,FE,Fencing,287,24
https://en.asiangames2018.id/athletes/sport/FB/page/1/,FB,Football,866,73
https://en.asiangames2018.id/athletes/sport/GO/page/1/,GO,Golf,133,12
https://en.asiangames2018.id/athletes/sport/HB/page/1/,HB,Handball,409,35
https://en.asiangames2018.id/athletes/sport/HO/page/1/,HO,Hockey,416,35
https://en.asiangames2018.id/athletes/sport/JS/page/1/,JS,JetSki,36,3
https://en.asiangames2018.id/athletes/sport/JU/page/1/,JU,Judo,267,23
https://en.asiangames2018.id/athletes/sport/JJ/page/1/,JJ,Ju-Jitsu,228,19
https://en.asiangames2018.id/athletes/sport/KD/page/1/,KD,Kabaddi,247,21
https://en.asiangames2018.id/athletes/sport/KA/page/1/,KA,Karate,210,18
https://en.asiangames2018.id/athletes/sport/KU/page/1/,KU,Kurash,180,15
https://en.asiangames2018.id/athletes/sport/MP/page/1/,MP,Modern Pentathlon,29,3
https://en.asiangames2018.id/athletes/sport/PG/page/1/,PG,Paragliding,109,10
https://en.asiangames2018.id/athletes/sport/PS/page/1/,PS,Pencak Silat,200,17
https://en.asiangames2018.id/athletes/sport/GR/page/1/,GR,Rhythmic Gymnastics,37,4
https://en.asiangames2018.id/athletes/sport/RS/page/1/,RS,Roller Skate,34,3
https://en.asiangames2018.id/athletes/sport/RO/page/1/,RO,Rowing,424,36
https://en.asiangames2018.id/athletes/sport/RU/page/1/,RU,Rugby Sevens,280,24
https://en.asiangames2018.id/athletes/sport/SA/page/1/,SA,Sailing,150,13
https://en.asiangames2018.id/athletes/sport/SC/page/1/,SC,Sambo,80,7
https://en.asiangames2018.id/athletes/sport/SE/page/1/,SE,Sepaktakraw,265,23
https://en.asiangames2018.id/athletes/sport/SH/page/1/,SH,Shooting,427,36
https://en.asiangames2018.id/athletes/sport/SK/page/1/,SK,Skateboard,37,4
https://en.asiangames2018.id/athletes/sport/SF/page/1/,SF,Soft Tennis,116,10
https://en.asiangames2018.id/athletes/sport/SO/page/1/,SO,Softball,120,10
https://en.asiangames2018.id/athletes/sport/CL/page/1/,CL,Sport Climbing,137,12
https://en.asiangames2018.id/athletes/sport/SQ/page/1/,SQ,Squash,107,9
https://en.asiangames2018.id/athletes/sport/SW/page/1/,SW,Swimming,390,33
https://en.asiangames2018.id/athletes/sport/TT/page/1/,TT,Table Tennis,193,17
https://en.asiangames2018.id/athletes/sport/TK/page/1/,TK,Taekwondo,299,25
https://en.asiangames2018.id/athletes/sport/TE/page/1/,TE,Tennis,180,15
https://en.asiangames2018.id/athletes/sport/GT/page/1/,GT,Trampoline Gymnastics,20,2
https://en.asiangames2018.id/athletes/sport/TR/page/1/,TR,Triathlon,94,8
https://en.asiangames2018.id/athletes/sport/VO/page/1/,VO,Volleyball,456,38
https://en.asiangames2018.id/athletes/sport/WP/page/1/,WP,Water Polo,229,20
https://en.asiangames2018.id/athletes/sport/WL/page/1/,WL,Weightlifting,185,16
https://en.asiangames2018.id/athletes/sport/WR/page/1/,WR,Wrestling,259,22
https://en.asiangames2018.id/athletes/sport/WU/page/1/,WU,Wushu,222,19
