rank,name,surname,country,sport,gold,silver,bronze,medals,url
1,RIKAKO,IKEE,Japan,Swimming,6,2,0,8,https://en.asiangames2018.id/athletes/athlete/IKEE-Rikako-3006657/
2,JIANJIAHE,WANG,China,Swimming,4,0,0,4,https://en.asiangames2018.id/athletes/athlete/WANG-Jianjiahe-3009432/
2,AHREUM,NA,Republic of Korea,Cycling Road,4,0,0,4,https://en.asiangames2018.id/athletes/athlete/NA-Ahreum-3013080/
4,NATSUMI,SAKAI,Japan,Swimming,3,1,1,5,https://en.asiangames2018.id/athletes/athlete/SAKAI-Natsumi-3026169/
5,Edidiong,Odiong,Bahrain,Athletics,3,1,0,4,https://en.asiangames2018.id/athletes/athlete/ODIONG-Edidiong-3010983/
5,Salwa,Naser,Bahrain,Athletics,3,1,0,4,https://en.asiangames2018.id/athletes/athlete/NASER-Salwa-3010985/
7,Yile,Chen,China,Artistic Gymnastics,3,0,0,3,https://en.asiangames2018.id/athletes/athlete/CHEN-Yile-3008271/
7,SATOMI,SUZUKI,Japan,Swimming,3,0,0,3,https://en.asiangames2018.id/athletes/athlete/SUZUKI-Satomi-3026178/
9,BINGJIE,LI,China,Swimming,2,3,0,5,https://en.asiangames2018.id/athletes/athlete/LI-Bingjie-3009407/
10,JUNXUAN,YANG,China,Swimming,2,2,1,5,https://en.asiangames2018.id/athletes/athlete/YANG-Junxuan-3009435/
11,WANTING,YIN,Chinese Taipei,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/YIN-Wanting-3007188/
11,MANYU,WANG,China,Table Tennis,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/WANG-Manyu-3008932/
11,YUFEI,ZHANG,China,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/ZHANG-Yufei-3009429/
11,YUE,LI,China,Canoe/Kayak Sprint,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/LI-Yue-3010814/
11,TOMOMI,AOKI,Japan,Swimming,2,1,0,3,https://en.asiangames2018.id/athletes/athlete/AOKI-Tomomi-3026124/
16,YOURI,KIM,Republic of Korea,Cycling Track,2,0,1,3,https://en.asiangames2018.id/athletes/athlete/KIM-Youri-3013067/
17,PAYOM,SRIHONGSA,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SRIHONGSA-Payom-3004401/
17,MASAYA,DUANGSRI,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/DUANGSRI-Masaya-3004403/
17,SASIWIMOL,JANTHASIT,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/JANTHASIT-Sasiwimol-3004404/
17,FUEANGFA,PRAPHATSARANG,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PRAPHATSARANG-Fueangfa-3004405/
17,SOMRUEDEE,PRUEPRUK,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PRUEPRUK-Somruedee-3004407/
17,WIPHADA,CHITPHUAN,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/CHITPHUAN-Wiphada-3004413/
17,YINGSHA,SUN,China,Table Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SUN-Yingsha-3007704/
17,NUNNAPAT,PHUCHONG,Thailand,Paragliding,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PHUCHONG-Nunnapat-3009285/
17,TINGMAO,SHI,China,Diving,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SHI-Tingmao-3009709/
17,MENGYA,SUN,China,Canoe/Kayak Sprint,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SUN-Mengya-3010564/
17,YU,ZHOU,China,Canoe/Kayak Sprint,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ZHOU-Yu-3010850/
17,Oluwakemi,Adekoya,Bahrain,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ADEKOYA-Oluwakemi-3010986/
17,Kalkidan,Befkadu,Bahrain,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/BEFKADU-Kalkidan-3010993/
17,Tingting,Liu,China,Artistic Gymnastics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LIU-Tingting-3011716/
17,JUMI,LEE,Republic of Korea,Cycling Road,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LEE-Jumi-3013076/
17,YUKA,SASO,Philippines,Golf,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SASO-Yuka-3016838/
17,Alina,Adilkhanova,Kazakhstan,Rhythmic Gymnastics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ADILKHANOVA-Alina-3021296/
17,Susanti Rahayu,Aries,Indonesia,Sport Climbing,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ARIES-Susanti-Rahayu-3022179/
17,Saki,NIIZOE,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/NIIZOE-Saki-3025848/
17,Akira,SONE,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SONE-Akira-3025861/
17,Momo,TAMAOKI,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/TAMAOKI-Momo-3025864/
17,WAI SZE,LEE,"Hong Kong, China",Cycling Track,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LEE-Wai-Sze-3025940/
